연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2015,한국영화제작가협회상,일반(종합),암살,최동훈,,작품상,
2015,한국영화제작가협회상,일반(종합),베테랑,류승완,,편집상,김재범
2015,한국영화제작가협회상,일반(종합),베테랑,류승완,,감독상,류승완
2015,한국영화제작가협회상,일반(종합),베테랑,류승완,,촬영상,최영환
2015,한국영화제작가협회상,일반(종합),베테랑,류승완,,편집상,김상범
2015,한국영화제작가협회상,일반(종합),암살,최동훈,,미술상,류성희
2015,한국영화제작가협회상,일반(종합),베테랑,류승완,,기술상,정두홍
2015,한국영화제작가협회상,일반(종합),베테랑,류승완,,기술상,정윤헌
2015,한국영화제작가협회상,일반(종합),국제시장,윤제균,,남우주연상,황정민
2015,한국영화제작가협회상,일반(종합),국제시장,윤제균,,남우조연상,오달수
2015,한국영화제작가협회상,일반(종합),국제시장,윤제균,,음악상,이병우
2015,한국영화제작가협회상,일반(종합),차이나타운,한준희,,여우주연상,김혜수
2015,한국영화제작가협회상,일반(종합),사도,이준익,,여우조연상,전혜진
2015,한국영화제작가협회상,일반(종합),사도,이준익,,각본상,조철현
2015,한국영화제작가협회상,일반(종합),사도,이준익,,각본상,이송원
2015,한국영화제작가협회상,일반(종합),사도,이준익,,각본상,오승현
2015,한국영화제작가협회상,일반(종합),사도,이준익,,음향상,최태영
2015,한국영화제작가협회상,일반(종합),뷰티 인사이드,백종열,,조명상,홍승철
2015,한국영화제작가협회상,일반(종합),뷰티 인사이드,백종열,,Kreative Thinking 상,
2015,시네마베리떼 - 이란 국제다큐영화제,다큐,"님아, 그 강을 건너지 마오",진모영,장편경쟁,국제경쟁 대상,진모영
2015,서울세계단편영화제,단편,플라워,최정한,일반 경쟁부문,,
2015,광저우 국제다큐멘터리영화제,다큐,탐욕의 제국,홍리경,,,
2015,파인애플 언더그라운드 영화제,일반(종합),어우동: 주인 없는 꽃,이수성,경쟁 부문,아시아 장편,이수성
2015,부산영화평론가협회상,일반(종합),오피스,홍원찬,,신인감독상,홍원찬
2015,부산영화평론가협회상,일반(종합),경성학교: 사라진 소녀들,이해영,,신인여우상,박소담
2015,부산영화평론가협회상,일반(종합),무뢰한,오승욱,,심사위원 특별상,오승욱
2015,부산영화평론가협회상,일반(종합),철의 꿈,박경근,,기술상,박경근
2015,부산영화평론가협회상,일반(종합),지금은맞고그때는틀리다,홍상수,,대상,홍상수
2015,부산영화평론가협회상,일반(종합),한여름의 판타지아,장건재,,각본상,장건재
2015,부산영화평론가협회상,일반(종합),카리스마 탈출기,권남기,,이필우 기념상,이석기
2015,부산영화평론가협회상,일반(종합),지금은맞고그때는틀리다,홍상수,,여우주연상,김민희
2015,부산영화평론가협회상,일반(종합),베테랑,류승완,,남우주연상,유해진
2015,부산영화평론가협회상,일반(종합),소수의견,김성제,,신인감독상,김성제
2015,여성영화인축제,일반(종합),파스카,안선경,,각본상,안선경
2015,여성영화인축제,일반(종합),워킹걸,정범식,,기술상,이선영
2015,여성영화인축제,일반(종합),화장,임권택,,연기상,김호정
2015,여성영화인축제,일반(종합),거짓말,김동명,,감독상,김동명
2015,여성영화인축제,일반(종합),검은 사제들,장재현,,신인연기상,박소담
2015,여성영화인축제,일반(종합),차이나타운,한준희,,제작자상,안은미
2015,트빌리시 국제영화제,일반(종합),도희야,정주리,Horizons,,
2015,서울독립영화제,독립,2088 스페이스 오디세이,송원재,단편경쟁1,,
2015,서울독립영화제,독립,옆 구르기,안주영,특별초청_단편4,,
2015,서울독립영화제,독립,열일곱살의 버킷 리스트,윤솔지,특별초청_장편3,,
2015,서울독립영화제,독립,봉준호를 찾아서,정하림,새로운선택2,,
2015,서울독립영화제,독립,초인,서은영,새로운선택4,,
2015,서울독립영화제,독립,우박,박보람,단편경쟁4,,
2015,서울독립영화제,독립,홀리워킹데이,이희원,새로운선택7,,
2015,서울독립영화제,독립,더 배틀 오브 광주,이지상,특별초청_장편10,,
2015,서울독립영화제,독립,비공식 개강총회,류덕환,특별초청_단편1,,
2015,서울독립영화제,독립,동물도감,"조현아,김수정",특별초청_단편3,,
2015,서울독립영화제,독립,겨울꿈,김태진,단편경쟁1,,
2015,서울독립영화제,독립,아무도 돌아오지 않는 밤,김하나,단편경쟁7,,
2015,서울독립영화제,독립,다른 길이 있다,조창호,특별초청_장편12,,
2015,서울독립영화제,독립,눈꺼풀,오멸,특별초청_장편11,,
2015,서울독립영화제,독립,로보트:리바이벌,조현철,특별초청_단편4,,
2015,서울독립영화제,독립,고치,여은아,단편경쟁6,,
2015,서울독립영화제,독립,이퀄라이져,염지호,단편경쟁3,,
2015,서울독립영화제,독립,로프공의 밤,송현정,단편경쟁6,,
2015,서울독립영화제,독립,뱀파이어는 우리 옆집에 산다,임상수,특별초청_단편3,,
2015,서울독립영화제,독립,출사,유재현,단편경쟁3,,
2015,서울독립영화제,독립,얼루어,배경헌,특별초청_단편5,,
2015,서울독립영화제,독립,옥상자국,양주연,특별초청_단편1,,
2015,서울독립영화제,독립,양치기들,김진황,새로운선택9,,
2015,서울독립영화제,독립,토끼의 뿔,한인미,단편경쟁7,,
2015,서울독립영화제,독립,고양이춤,민용근,특별초청_단편2,,
2015,서울독립영화제,독립,병구,형슬우,단편경쟁2,,
2015,서울독립영화제,독립,피터의 LP투어,원문희,새로운선택6,,
2015,서울독립영화제,독립,면허시험,정욱,특별초청_단편5,,
2015,서울독립영화제,독립,펑정지에는 펑정지에다,민병훈,특별초청_장편6,,
2015,서울독립영화제,독립,연무,최시형,단편경쟁1,,
2015,서울독립영화제,독립,소통과 거짓말,이승원,장편경쟁6,,
2015,서울독립영화제,독립,열대야,서은선,특별초청_단편5,,
2015,서울독립영화제,독립,인 허 플레이스,알버트 신,특별초청_장편7,,
2015,서울독립영화제,독립,배우의 탄생,이진호,새로운시선,,
2015,서울독립영화제,독립,여름의 끝자락,"곽새미,박용재",단편경쟁4,,
2015,서울독립영화제,독립,럭키볼,곽민승,특별초청_단편3,,
2015,서울독립영화제,독립,감각의 경로,민병훈,특별초청_장편6,,
2015,서울독립영화제,독립,도시를 떠돌다,김정,장편경쟁11,,
2015,서울독립영화제,독립,9월 9일,정혜진,단편경쟁8,,
2015,서울독립영화제,독립,달리기,이대영,단편경쟁3,,
2015,서울독립영화제,독립,아아아,노영미,단편경쟁2,,
2015,서울독립영화제,독립,어둠의 저편,김창수,특별초청_단편4,,
2015,서울독립영화제,독립,하드보일드 원더랜드,허욱,특별초청_단편2,,
2015,서울독립영화제,독립,최고의 감독,문소리,특별초청_단편2,,
2015,서울독립영화제,독립,우리가 택한 이 별,김정은,단편경쟁3,,
2015,서울독립영화제,독립,레드마리아2,경순,특별초청_장편2,,
2015,서울독립영화제,독립,사요나라,"여선화,허승화",단편경쟁5,,
2015,서울독립영화제,독립,흔들리는 물결,김진도,장편경쟁8,,
2015,서울독립영화제,독립,그녀,김고은,단편경쟁5,,
2015,서울독립영화제,독립,다방의 푸른 꿈,김대현,특별초청_장편9,,
2015,서울독립영화제,독립,동心,"포레스트 이안 엣슬러,심세부",새로운선택1,,
2015,서울독립영화제,독립,사류 射流,"신부연,윤상정",새로운선택3,,
2015,서울독립영화제,독립,설행_눈길을 걷다,김희정,특별초청_장편1,,
2015,서울독립영화제,독립,여고생,박근범,장편경쟁10,,
2015,서울독립영화제,독립,선미,최한솔,단편경쟁8,,
2015,서울독립영화제,독립,그저 그런 여배우와 단신 대머리남의 연애,"박영임,김정민우",새로운 선택8,,
2015,서울독립영화제,독립,진주머리방,강유가람,특별초청_단편4,,
2015,서울독립영화제,독립,고대전사 맘모스맨,허세준,단편경쟁7,,
2015,서울독립영화제,독립,열정의 끝,곽은미,단편경쟁1,,
2015,서울독립영화제,독립,오늘도,박민아,새로운선택3,,
2015,서울독립영화제,독립,럭키볼,곽민승,개막작,,
2015,서울독립영화제,독립,"내동공간, 남동공단",박군제,새로운선택1,,
2015,서울독립영화제,독립,그녀를 사랑합니다,오지윤,새로운선택2,,
2015,서울독립영화제,독립,전학생,박지인,단편경쟁8,,
2015,서울독립영화제,독립,식물들: 자카르타 모노레일 103,박용석,단편경쟁2,,
2015,서울독립영화제,독립,창밖의 풍경,이정홍,단편경쟁8,,
2015,서울독립영화제,독립,우주의 닭,변성빈,단편경쟁2,,
2015,서울독립영화제,독립,그녀의 전설,김태용,특별초청_단편1,,
2015,서울독립영화제,독립,김치,심혜정,특별초청_단편1,,
2015,서울독립영화제,독립,엄마를 만나는 날,이용의,새로운선택2,,
2015,서울독립영화제,독립,이 시대의 사랑,전성연,단편경쟁6,,
2015,서울독립영화제,독립,블랙스톤,노경태,특별초청_장편8,,
2015,서울독립영화제,독립,시네마,원태희,단편경쟁5,,
