연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2001,가오슝 영화제,일반(종합),야생동물보호구역,김기덕,한국영화섹션,,
2001,가오슝 영화제,일반(종합),파란대문,김기덕,한국영화섹션,,
2001,가오슝 영화제,일반(종합),공동경비구역 JSA,박찬욱,한국영화섹션,,
2001,가오슝 영화제,일반(종합),섬,김기덕,한국영화섹션,,
2001,가오슝 영화제,일반(종합),순애보,이재용,한국영화섹션,,
2001,춘사영화제,일반(종합),친구,곽경택,,남우주연상,유오성
2001,춘사영화제,일반(종합),고양이를 부탁해,정재은,,여우주연상,옥지영
2001,춘사영화제,일반(종합),고양이를 부탁해,정재은,,여우주연상,배두나
2001,춘사영화제,일반(종합),친구,곽경택,,춘사대상,곽경택
2001,춘사영화제,일반(종합),고양이를 부탁해,정재은,,여우주연상,이요원
2001,춘사영화제,일반(종합),친구,곽경택,,감독상,곽경택
2001,여성영화인축제,일반(종합),봄날은 간다,허진호,,기술상,송종희
2001,여성영화인축제,일반(종합),팬지와 담쟁이,계운경,,다큐멘터리상,계운경
2001,여성영화인축제,일반(종합),선물,오기환,,제작자상,김미희
2001,여성영화인축제,일반(종합),고양이를 부탁해,정재은,,올해의 여성영화인상,정재은
2001,여성영화인축제,일반(종합),고양이를 부탁해,정재은,,연기상,배두나
2001,시네마닐라 국제영화제,일반(종합),섬,김기덕,한국영화섹션,,서정
2001,시네마닐라 국제영화제,일반(종합),해피엔드,정지우,한국영화섹션,,
2001,시네마닐라 국제영화제,일반(종합),주유소 습격사건,김상진,한국영화섹션,,
2001,시네마닐라 국제영화제,일반(종합),반칙왕,김지운,한국영화섹션,,
2001,시네마닐라 국제영화제,일반(종합),플란다스의 개,봉준호,한국영화섹션,,
2001,시네마닐라 국제영화제,일반(종합),춘향뎐(春香傳),임권택,개막작,,
2001,청룡영화상,일반(종합),무사,김성수,,남우조연상,안성기
2001,청룡영화상,일반(종합),번지점프를 하다,김대승,,각본상,고은님
2001,청룡영화상,일반(종합),번지점프를 하다,김대승,,신인감독상,김대승
2001,청룡영화상,일반(종합),소름,윤종찬,,여우주연상,장진영
2001,청룡영화상,일반(종합),친구,곽경택,,한국영화 최다관객상,
2001,청룡영화상,일반(종합),파이란,송해성,,감독상,송해성
2001,청룡영화상,일반(종합),파이란,송해성,,남우주연상,최민식
2001,청룡영화상,일반(종합),봄날은 간다,허진호,,최우수작품상,허진호
2001,청룡영화상,일반(종합),와이키키 브라더스,임순례,,여우조연상,오지혜
2001,청룡영화상,일반(종합),고양이를 부탁해,정재은,,신인여우상,이요원
2001,청룡영화상,일반(종합),와이키키 브라더스,임순례,,기술상,임재영
2001,청룡영화상,일반(종합),엽기적인 그녀,곽재용,,신인남우상,차태현
2001,서울독립영화제,독립,주민등록증을 찢어라,이마리오,폐막작,독불장군상,이마리오
2001,서울독립영화제,독립,탐폰설명서,성새론,본선경쟁,우수작품상,성새론
2001,서울독립영화제,독립,굿 로맨스,이송희일,본선경쟁,대상,이송희일
2001,서울독립영화제,독립,마우스 윗아웃 테일,박원철,본선경쟁,집행위원회 특별상,박원철
2001,서울독립영화제,독립,8849m,고영민,본선경쟁,최우수 작품상,고영민
