연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2018,사라예보 영화제,일반(종합),정보의 하늘,,단편,,
2018,서울세계단편영화제,단편,빙글빙글,최정한,일반부,,
2018,한국영화제작가협회상,일반(종합),신과함께-인과 연,김용화,,기술상,진종현
2018,한국영화제작가협회상,일반(종합),독전,이해영,,여우조연상,진서연
2018,한국영화제작가협회상,일반(종합),리틀 포레스트,임순례,,감독상,임순례
2018,한국영화제작가협회상,일반(종합),1987,장준환,,각본상,김경찬
2018,한국영화제작가협회상,일반(종합),암수살인,김태균,,남우주연상,주지훈
2018,한국영화제작가협회상,일반(종합),미쓰백,이지원,,여우주연상,한지민
2018,한국영화제작가협회상,일반(종합),안시성,김광식,,남우조연상,배성우
2018,한국영화제작가협회상,일반(종합),신과함께-죄와 벌,김용화,,기술상,진종현
2018,한국영화제작가협회상,일반(종합),곤지암,정범식,,음향상,박용기
2018,한국영화제작가협회상,일반(종합),곤지암,정범식,,음향상,박주강
2018,한국영화제작가협회상,일반(종합),독전,이해영,,음악상,달파란
2018,한국영화제작가협회상,일반(종합),독전,이해영,,편집상,양진모
2018,한국영화제작가협회상,일반(종합),공작,윤종빈,,미술상,박일현
2018,한국영화제작가협회상,일반(종합),공작,윤종빈,,조명상,유석문
2018,한국영화제작가협회상,일반(종합),공작,윤종빈,,촬영상,최찬민
2018,한국영화제작가협회상,일반(종합),1987,장준환,,작품상,이우정
2018,제주영화제,일반(종합),도어락,이권,아임 유어 시네마,,
2018,제주영화제,일반(종합),마중,문숙희,제주트멍,,
2018,제주영화제,일반(종합),공작,윤종빈,한국영화 초이스,,
2018,제주영화제,일반(종합),미쓰백,이지원,한국영화 초이스,,
2018,제주영화제,일반(종합),백년의 노래,이상목,제주트멍,,
2018,제주영화제,일반(종합),지슬 - 끝나지 않은 세월2,오멸,제주영화길,,
2018,제주영화제,일반(종합),우묵배미의 사랑,장선우,한국영화 초이스,,
2018,제주영화제,일반(종합),어멍,고훈,제주트멍,,
2018,제주영화제,일반(종합),오버 데어,장민승,개막작,,
2018,제주영화제,일반(종합),김녕회관,문재웅,제주트멍,,
2018,마카오 국제영화제,일반(종합),국가부도의 날,최국희,Special Presentations,,
2018,마카오 국제영화제,일반(종합),호흡,권만기,Competition,Best Film,권만기
2018,케랄라 국제영화제,일반(종합),강변호텔,홍상수,World Cinema,,
2018,케랄라 국제영화제,일반(종합),"인간, 공간, 시간 그리고 인간",김기덕,World Cinema,,
2018,마카오 국제영화제,일반(종합),마녀,박훈정,Flying Daggers,,
2018,디렉터스 컷 어워즈,일반(종합),1987,장준환,,올해의 각본상,김경찬
2018,디렉터스 컷 어워즈,일반(종합),1987,장준환,,올해의 특별언급,장준환
2018,디렉터스 컷 어워즈,일반(종합),허스토리,민규동,,올해의 특별언급,민규동
2018,디렉터스 컷 어워즈,일반(종합),공작,윤종빈,,올해의 특별언급,윤종빈
2018,디렉터스 컷 어워즈,일반(종합),리틀 포레스트,임순례,,올해의 특별언급,임순례
2018,디렉터스 컷 어워즈,일반(종합),남한산성,황동혁,,올해의 특별언급,황동혁
2018,디렉터스 컷 어워즈,일반(종합),버닝,이창동,,올해의 특별언급,이창동
2018,디렉터스 컷 어워즈,일반(종합),죄 많은 소녀,김의석,,올해의 비전상,김의석
2018,디렉터스 컷 어워즈,일반(종합),마녀,박훈정,,올해의 새로운 여자배우상,김다미
2018,디렉터스 컷 어워즈,일반(종합),1987,장준환,,올해의 감독상,장준환
2018,디렉터스 컷 어워즈,일반(종합),공작,윤종빈,,올해의 남자배우상,이성민
2018,디렉터스 컷 어워즈,일반(종합),리틀 포레스트,임순례,,올해의 여자배우상,김태리
2018,디렉터스 컷 어워즈,일반(종합),범죄도시,강윤성,,올해의 신인감독상,강윤성
2018,디렉터스 컷 어워즈,일반(종합),신과함께-인과 연,김용화,,올해의 새로운 남자배우상,도경수
2018,광저우 국제다큐멘터리영화제,다큐,순례,김한석,Official Selection,Best Documentary Director,김한석
2018,여성영화인축제,일반(종합),공동정범,"김일란,이혁상",,올해의 여성영화인상,김일란
2018,여성영화인축제,일반(종합),박화영,이환,,신인연기상,김가희
2018,여성영화인축제,일반(종합),공작,윤종빈,,기술상,최은아
2018,여성영화인축제,일반(종합),리틀 포레스트,임순례,,기술상,최은아
2018,여성영화인축제,일반(종합),1987,장준환,,기술상,최은아
2018,여성영화인축제,일반(종합),피의 연대기,김보람,,다큐멘터리상,김보람
2018,여성영화인축제,일반(종합),소공녀,전고운,,각본상,전고운
2018,여성영화인축제,일반(종합),미쓰백,이지원,,연기상,한지민
2018,여성영화인축제,일반(종합),탐정: 리턴즈,이언희,,감독상,이언희
2018,여성영화인축제,일반(종합),살아남은 아이,신동석,,제작자상,제정주
2018,보고타 단편영화제,단편,붉은 바람,이승무,Competencia VR,,
2018,보고타 단편영화제,단편,시소,차유경,ChiquiSHORTS - Carambola,,
2018,보고타 단편영화제,단편,복숭아,심수경,Colecciones - Madres,,
2018,부에노스아이레스 로호 상그레 영화제,호러/스릴러,삼촌,김형진,경쟁 Bizarre Competition,,
2018,광주독립영화제,일반(종합),김군,강상우,다큐멘터리 초청,,
2018,필마시아 영화제,일반(종합),버닝,이창동,,,
