,title,director
0,"김판수 당선, 그 후",이정현
1,미필적 고의,함경록
2,불한당들,장훈
3,비밀과 거짓말,최지영
4,너의 의미,손원평
5,십 분간 휴식,이성태
6,밀양,이창동
7,"굿바이, 로맨스",윤민수
8,너나 잘하세요,이승규
9,누가 해변에서 함부로 불꽃놀이를 하는가,조여래
10,행복,허진호
11,계절과 같은,정지형
12,매트릭스 컴퍼니,윤혜렴
13,하우즈,장세진
14,엄마를 찾아주세요,이옥섭
15,은하해방전선,윤성호
16,좋지 아니한가,정윤철
17,즐거운 인생,이준익
18,기담,"정식,정범식"
19,장군의 아들,임권택
20,장군의 아들 2,임권택
21,서편제,임권택
22,그놈 목소리,박진표
23,미녀는 괴로워,김용화
24,전장에서 나는,공미연
25,궁녀,김미정
26,싸이보그지만 괜찮아,박찬욱
27,취화선,임권택
28,달콤한 인생,김지운
29,빈집,김기덕
30,천년학,임권택
31,돼지와 세익스피어,김건
32,시간,김기덕
33,만남,홍성훈
34,베이베를 원하세요?,이상근
35,즐거운 우리집,엄혜정
36,가족나들이,홍승완
37,오래된 정원,임상수
38,두 번째 사랑,김진아
39,중천,조동오
40,아내의 애인을 만나다,김태식
41,청연,윤종찬
42,사이에서,이창재
43,다세포소녀,이재용
44,비열한 거리,유하
45,왕의 남자,이준익
46,해변의 여인,홍상수
47,엠,이명세
48,후회하지 않아,이송희일
49,경계,장률
50,도둑소년,민용근
51,손님,이은영
52,금지된 장난,최민석
53,백토전,허만재
54,아빠가 필요해,장형윤
55,체임버,유석현
56,스위밍걸,곽인근
57,나의 작은 인형상자,정유미
58,불휘,류지나
60,천년여우 여우비,이성강
61,프랑스 중위의 여자,백승빈
62,완벽한 도미요리,나홍진
63,키로기,이사무엘
64,별리,배완례
65,아치와 씨팍,조범진
66,망종,장률
67,사이코패스,김신혜
68,모노 러브 송,조민석
69,강변북로,유성엽
71,뒷모습,최숭기
72,여우비,구본환
73,여고괴담 4 : 목소리,최익환
74,수,최양일
75,진영이,이성은
76,검은 집,신태라
77,화려한 휴가,김지훈
78,친구집,이창희
79,나를 떠나지 말아요,신이수
80,00씨의 하루,박정훈
81,새끼여우,이유림
82,우아한 세계,한재림
83,아스라이,김삼력
