연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2003,가오슝 영화제,일반(종합),피도 눈물도 없이,류승완,초청,,
2003,가오슝 영화제,일반(종합),내츄럴시티,민병천,개막작,,
2003,가오슝 영화제,일반(종합),싱글즈,권칠인,초청,,
2003,가오슝 영화제,일반(종합),살인의 추억,봉준호,폐막작,,
2003,튀니지수스어린이영화제,일반(종합),마리이야기,이성강,.,,
2003,튀니지수스어린이영화제,일반(종합),고양이를 부탁해,정재은,.,,
2003,오일국제영화제,,주유소 습격사건,김상진,경쟁,,
2003,춘사영화제,일반(종합),지구를 지켜라,장준환,,신인감독상,장준환
2003,춘사영화제,일반(종합),질투는 나의 힘,박찬옥,,신인남우상,박해일
2003,춘사영화제,일반(종합),살인의 추억,봉준호,,남우주연상,송강호
2003,춘사영화제,일반(종합),살인의 추억,봉준호,,감독상,봉준호
2003,춘사영화제,일반(종합),살인의 추억,봉준호,,남우조연상,박노식
2003,춘사영화제,일반(종합),살인의 추억,봉준호,,촬영상,김형구
2003,춘사영화제,일반(종합),광복절 특사,김상진,,여우조연상,송윤아
2003,춘사영화제,일반(종합),지구를 지켜라,장준환,,신인여우상,황정민
2003,춘사영화제,일반(종합),살인의 추억,봉준호,,각본상,봉준호
2003,서울독립영화제,독립,노동자다 아니다,김미례,본선경쟁,,
2003,서울독립영화제,독립,송환,김동원,본선경쟁,대상,김동원
2003,서울독립영화제,독립,지옥,연상호,본선경쟁,,
2003,서울독립영화제,독립,사람은 무엇으로 사는가,경순,본선경쟁,KT&G 상상마당상,경순
2003,서울독립영화제,독립,원더플 데이,김현필,본선경쟁,KT&G 상상마당상,김현필
2003,서울독립영화제,독립,신 도시인,홍두현,본선경쟁,KT&G 상상마당상,홍두현
2003,서울독립영화제,독립,호모 제네티쿠스,이호영,,,
2003,서울독립영화제,독립,당신을 초대하고 싶습니다.,김아영,,,
2003,서울독립영화제,독립,서브웨이 키즈 익스프레스,손정일,특별초청,,
2003,서울독립영화제,독립,1호선,이하,본선경쟁,우수작품상,이하
2003,서울독립영화제,독립,빵과 우유,원신연,본선경쟁,최우수작품상,원신연
2003,서울독립영화제,독립,송환,김동원,본선경쟁,관객상,김동원
2003,홍콩 레즈비언&게이영화제,퀴어,로드무비,김인식,,,
2003,여성영화인축제,일반(종합),살인의 추억,봉준호,,기술상,류성희
2003,여성영화인축제,일반(종합),살인의 추억,봉준호,,제작자상,김무령
2003,대만 금마장 영화제,일반(종합),바람난 가족,임상수,.,,
2003,대만 금마장 영화제,일반(종합),질투는 나의 힘,박찬옥,.,,
2003,대만 금마장 영화제,일반(종합),,,.,,
2003,대만 금마장 영화제,일반(종합),오아시스,이창동,.,,
2003,대만 금마장 영화제,일반(종합),박하사탕,이창동,.,,
2003,대만 금마장 영화제,일반(종합),로드무비,김인식,.,,
2003,여성영화인축제,일반(종합),바람난 가족,임상수,,연기상,문소리
2003,여성영화인축제,일반(종합),살인의 추억,봉준호,,올해의 여성영화인상,김무령
2003,여성영화인축제,일반(종합),맥도날드 소년,"김태희,류종호",,다큐멘터리상,김태희
2003,여성영화인축제,일반(종합),4인용 식탁,이수연,,감독상,이수연
2003,청룡영화상,일반(종합),첫사랑 사수 궐기 대회,오종록,,인기스타상,차태현
2003,청룡영화상,일반(종합),올드보이,박찬욱,,남우주연상,최민식
2003,청룡영화상,일반(종합),올드보이,박찬욱,,감독상,박찬욱
2003,청룡영화상,일반(종합),지구를 지켜라,장준환,,신인감독상,장준환
2003,청룡영화상,일반(종합),지구를 지켜라,장준환,,남우조연상,백윤식
2003,청룡영화상,일반(종합),질투는 나의 힘,박찬옥,,각본상,박찬옥
2003,청룡영화상,일반(종합),봄 여름 가을 겨울 그리고 봄,김기덕,,최우수 작품상,
2003,청룡영화상,일반(종합),봄 여름 가을 겨울 그리고 봄,김기덕,,기술상,오상만
2003,청룡영화상,일반(종합),살인의 추억,봉준호,,한국영화 최다관객상,
2003,청룡영화상,일반(종합),살인의 추억,봉준호,,촬영상,김형구
2003,청룡영화상,일반(종합),"장화, 홍련",김지운,,신인여우상,임수정
2003,청룡영화상,일반(종합),클래식,곽재용,,인기스타상,손예진
2003,청룡영화상,일반(종합),올드보이,박찬욱,,여우조연상,강혜정
2003,청룡영화상,일반(종합),싱글즈,권칠인,,인기스타상,장진영
2003,청룡영화상,일반(종합),싱글즈,권칠인,,여우주연상,장진영
2003,청룡영화상,일반(종합),스캔들-조선남녀상열지사,이재용,,인기스타상,배용준
2003,청룡영화상,일반(종합),스캔들-조선남녀상열지사,이재용,,신인남우상,배용준
2003,누아르 인 페스티벌,호러/스릴러,,,.,,
2003,시체스 국제판타스틱영화제,판타지,해안선,김기덕,GRAN ANGULAR,,
2003,시체스 국제판타스틱영화제,판타지,아카시아(Acacia),박기형,경쟁,,
2003,시체스 국제판타스틱영화제,판타지,"장화, 홍련",김지운,경쟁,,
2003,시체스 국제판타스틱영화제,판타지,거울속으로,김성호,경쟁,,
2003,탈린 블랙나이츠 영화제,일반(종합),오아시스,이창동,.,,
2003,시체스 국제판타스틱영화제,판타지,원더풀 데이즈,김문생,Anima't,,
2003,국제촬영영화제,,,,학생파노라마,,
2003,대한민국 영화대상,일반(종합),질투는 나의 힘,박찬옥,,신인남우상,박해일
2003,테살로니키 국제영화제,일반(종합),살인의 추억,봉준호,비경쟁,,
2003,대한민국 영화대상,일반(종합),지구를 지켜라,장준환,,신인감독상,장준환
2003,오슬로 국제영화제,일반(종합),여고괴담 세번째 이야기: 여우계단,윤재연,초청,,
2003,토론토 릴 아시안 영화제,일반(종합),,,,,
2003,도쿄 필맥스,일반(종합),지구를 지켜라,장준환,공식경쟁,,
2003,대한민국 영화대상,일반(종합),"장화, 홍련",김지운,,신인여우상,임수정
2003,대한민국 영화대상,일반(종합),바람난 가족,임상수,,여우조연상,윤여정
2003,대한민국 영화대상,일반(종합),지구를 지켜라,장준환,,남우조연상,백윤식
2003,대한민국 영화대상,일반(종합),살인의 추억,봉준호,,최우수작품상,
2003,대한민국 영화대상,일반(종합),살인의 추억,봉준호,,남우주연상,송강호
