연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2014,황금촬영상 시상식,일반(종합),더 테러 라이브,김병우,,연기대상,하정우
2014,황금촬영상 시상식,일반(종합),더 파이브,정연식,,최우수 여우주연상,김선아
2014,황금촬영상 시상식,일반(종합),집으로 가는 길,방은진,,최우수 남우주연상,고수
2014,황금촬영상 시상식,일반(종합),7번방의 선물,이환경,,최우수 남우조연상,오달수
2014,황금촬영상 시상식,일반(종합),개들의 전쟁,조병옥,,촬영상-신인상,김병정
2014,제주영화제,일반(종합),집,이환,본선작,,
2014,제주영화제,일반(종합),"새벽, 국경에서",배기원,본선작,,
2014,제주영화제,일반(종합),향,김유신,본선작,,
2014,제주영화제,일반(종합),숨,권현주,본선작,,
2014,제주영화제,일반(종합),꽃피는 철길,,본선작,,
2014,제주영화제,일반(종합),방관자,박범수,본선작,,
2014,제주영화제,일반(종합),출근,이한종,본선작,,
2014,제주영화제,일반(종합),잭보이,강원,본선작,,
2014,제주영화제,일반(종합),처가,,본선작,,
2014,제주영화제,일반(종합),택시 드라이버,정해원,본선작,,
2014,제주영화제,일반(종합),아귀,송우진,본선작,,
2014,제주영화제,일반(종합),사브라,정대건,본선작,,
2014,제주영화제,일반(종합),에이티엠,,본선작,,
2014,제주영화제,일반(종합),녹색문,배준현,본선작,,
2014,제주영화제,일반(종합),심야배송,이승주,본선작,우수 작품상,
2014,제주영화제,일반(종합),이 별에 필요한,김용완,본선작,관객상,
2014,제주영화제,일반(종합),누구없소,,본선작,심사위원 특별상,
2014,제주영화제,일반(종합),일등급이다,이정호,본선작,최우수 작품상,
2014,한국영화제작가협회상,일반(종합),역린,이재규,,기술상,강종익
2014,한국영화제작가협회상,일반(종합),역린,이재규,,음향상,김창섭
2014,한국영화제작가협회상,일반(종합),역린,이재규,,미술상,조화성
2014,한국영화제작가협회상,일반(종합),역린,이재규,,조명상,차상균
2014,한국영화제작가협회상,일반(종합),해무(海霧),심성보,,촬영상,홍경표
2014,한국영화제작가협회상,일반(종합),해적: 바다로 간 산적,이석훈,,남우조연상,유해진
2014,한국영화제작가협회상,일반(종합),군도: 민란의 시대,윤종빈,,음악상,조영욱
2014,한국영화제작가협회상,일반(종합),군도: 민란의 시대,윤종빈,,여우조연상,윤지혜
2014,한국영화제작가협회상,일반(종합),나의 독재자,이해준,,각본상,백철현
2014,한국영화제작가협회상,일반(종합),나의 독재자,이해준,,각본상,이해준
2014,한국영화제작가협회상,일반(종합),나의 독재자,이해준,,남우주연상,설경구
2014,한국영화제작가협회상,일반(종합),수상한 그녀,황동혁,,여우주연상,심은경
2014,한국영화제작가협회상,일반(종합),끝까지 간다,김성훈,,편집상,김창주
2014,한국영화제작가협회상,일반(종합),끝까지 간다,김성훈,,감독상,김성훈
2014,한국영화제작가협회상,일반(종합),끝까지 간다,김성훈,,작품상,
2014,제주영화제,일반(종합),절경,남근학,본선작,,
2014,제주영화제,일반(종합),밤과 꿈,박송열,본선작,,
2014,제주영화제,일반(종합),다정하게 바삭바삭,장영선,본선작,,
2014,제주영화제,일반(종합),하얀 자전거,백수장,본선작,,
2014,제주영화제,일반(종합),빈집,변성진,본선작,,
2014,제주영화제,일반(종합),집으로,전효정,본선작,,
2014,뉴필름메이커스 뉴욕 영화제,일반(종합),히어로,오권,Official Selection,,
2014,케랄라 국제영화제,일반(종합),자유의 언덕,홍상수,World Cinema,,
2014,케랄라 국제영화제,일반(종합),도희야,정주리,International Competition Films,,
2014,케랄라 국제영화제,일반(종합),화장,임권택,World Cinema,,
2014,케랄라 국제영화제,일반(종합),일대일,김기덕,World Cinema,,
2014,케랄라 국제영화제,일반(종합),한공주,이수진,World Cinema,,
2014,청룡영화상,일반(종합),영희씨,방우리,단편영화,단편영화상,방우리
2014,청룡영화상,일반(종합),군도: 민란의 시대,윤종빈,,촬영상,최찬민
2014,청룡영화상,일반(종합),변호인,양우석,,인기스타상,임시완
2014,청룡영화상,일반(종합),끝까지 간다,김성훈,,각본상,김성훈
2014,청룡영화상,일반(종합),끝까지 간다,김성훈,,편집상,김창주
2014,청룡영화상,일반(종합),친구 2,곽경택,,인기스타상,김우빈
2014,청룡영화상,일반(종합),타짜-신의 손,강형철,,인기스타상,신세경
2014,청룡영화상,일반(종합),인간중독,김대우,,인기스타상,송승헌
2014,청룡영화상,일반(종합),군도: 민란의 시대,윤종빈,,음악상,조영욱
2014,청룡영화상,일반(종합),군도: 민란의 시대,윤종빈,,조명상,유영종
2014,청룡영화상,일반(종합),명량,김한민,,감독상,김한민
2014,청룡영화상,일반(종합),명량,김한민,,한국영화 최다관객상,
2014,청룡영화상,일반(종합),끝까지 간다,김성훈,,남우조연상,조진웅
