연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2017,제주영화제,일반(종합),종달리,한동혁,제주트멍,,
2017,제주영화제,일반(종합),울림,장줄리앙 푸스,제주트멍,,
2017,제주영화제,일반(종합),지슬 - 끝나지 않은 세월2,오멸,제주유랑극장,,
2017,제주영화제,일반(종합),밤치기,정가영,신작열전,,
2017,제주영화제,일반(종합),고래사냥,배창호,배창호 특별전,,
2017,제주영화제,일반(종합),얼굴들,이강현,신작열전,,
2017,제주영화제,일반(종합),꼬방동네 사람들,배창호,배창호 특별전,,
2017,제주영화제,일반(종합),직지코드,"데이빗 레드먼,우광훈",개막작,,
2017,제주영화제,일반(종합),여행,배창호,배창호 특별전,,
2017,제주영화제,일반(종합),블라인드 필름,오재형,제주트멍,,
2017,제주영화제,일반(종합),시인의 사랑,김양희,제주트멍,,
2017,제주영화제,일반(종합),나는 아직도 당신이 궁금하여 자다가도 일어납니다,"요조,김충근",제주트멍,,
2017,한국영화제작가협회상,일반(종합),불한당: 나쁜 놈들의 세상,변성현,,촬영상,조형래
2017,한국영화제작가협회상,일반(종합),군함도,류승완,,음악상,방준석
2017,한국영화제작가협회상,일반(종합),범죄도시,강윤성,,기술상,전재형
2017,한국영화제작가협회상,일반(종합),범죄도시,강윤성,,기술상,허명행
2017,한국영화제작가협회상,일반(종합),재심,김태윤,,Kreative Thinking 상,
2017,한국영화제작가협회상,일반(종합),남한산성,황동혁,,음향상,최태영
2017,한국영화제작가협회상,일반(종합),남한산성,황동혁,,편집상,남나영
2017,한국영화제작가협회상,일반(종합),아이 캔 스피크,김현석,,각본상,유승희
2017,한국영화제작가협회상,일반(종합),불한당: 나쁜 놈들의 세상,변성현,,조명상,박정우
2017,한국영화제작가협회상,일반(종합),군함도,류승완,,미술상,이후경
2017,한국영화제작가협회상,일반(종합),더 킹,한재림,,여우조연상,김소진
2017,한국영화제작가협회상,일반(종합),남한산성,황동혁,,작품상,
2017,한국영화제작가협회상,일반(종합),박열,이준익,,감독상,이준익
2017,한국영화제작가협회상,일반(종합),택시운전사,장훈,,남우주연상,송강호
2017,한국영화제작가협회상,일반(종합),아이 캔 스피크,김현석,,여우주연상,나문희
2017,한국영화제작가협회상,일반(종합),불한당: 나쁜 놈들의 세상,변성현,,남우조연상,김희원
2017,소치 국제영화제,일반(종합),산상수훈,유영의,개막작,남우주연상,백서빈
2017,대만 국제필름메이커어워드,일반(종합),아빠는 예쁘다,"김승협,박수민",,감독상,김승협
2017,대만 국제필름메이커어워드,일반(종합),아빠는 예쁘다,"김승협,박수민",,대상,김승협
2017,대만 국제필름메이커어워드,일반(종합),아빠는 예쁘다,"김승협,박수민",,감독상,박수민
2017,대만 국제필름메이커어워드,일반(종합),아빠는 예쁘다,"김승협,박수민",,대상,박수민
2017,PGK어워즈,일반(종합),시인의 사랑,김양희,,신인 프로듀서상,이정은
2017,마카오 국제영화제,일반(종합),하루,조선호,Flying Daggers,,
2017,마카오 국제영화제,일반(종합),범죄도시,강윤성,Flying Daggers,,
2017,PGK어워즈,일반(종합),시인의 사랑,김양희,,뉴 제너레이션상,이성경
2017,PGK어워즈,일반(종합),범죄도시,강윤성,,올해의 프로듀서상,장원석
2017,두바이 국제영화제,일반(종합),범죄도시,강윤성,Cinema of the World,,
2017,필마시아 영화제,일반(종합),악녀,정병길,,,
2017,보고타 단편영화제,단편,모든 남자는 꽃이다,,Growing up (Adolescents),,
2017,여성영화인축제,일반(종합),해빙,이수연,,기술상,엄혜정
2017,여성영화인축제,일반(종합),시인의 사랑,김양희,,각본상,김양희
2017,여성영화인축제,일반(종합),야근 대신 뜨개질,박소현,,다큐멘터리상,박소현
2017,여성영화인축제,일반(종합),용순,신준,,신인연기상,이수경
2017,여성영화인축제,일반(종합),택시운전사,장훈,,제작자상,박은경
2017,여성영화인축제,일반(종합),미씽: 사라진 여자,이언희,,연기상,엄지원
2017,여성영화인축제,일반(종합),아이 캔 스피크,김현석,,올해의 여성영화인상,나문희
2017,필마시아 영화제,일반(종합),남한산성,황동혁,,,
2017,필마시아 영화제,일반(종합),브이아이피,박훈정,,,
2017,보고타 단편영화제,단편,홈런을 던지다,박기범,Challenges (Sports),,
2017,보고타 단편영화제,단편,우아한 신세계,박성배,Living / Surviving = Robots / AI,,
2017,보고타 단편영화제,단편,"달, 어디있니?",백미영,International Competition,,
2017,필마시아 영화제,일반(종합),군함도,류승완,,,
2017,보고타 단편영화제,단편,동두천,김진아,VR 단편 경쟁 부문,베스트 VR 상,김진아
2017,보고타 단편영화제,단편,바실리스크,강민규,F3 - Fantastic Freak,,
2017,필마시아 영화제,일반(종합),택시운전사,장훈,,,
2017,필마시아 영화제,일반(종합),클레어의 카메라,홍상수,,,
2017,서울국제청소년영화제,청소년,졸음을 쫓는 방법,김승현,경쟁 19+,,
2017,서울국제청소년영화제,청소년,반지의 여름은 느리다,김민지,초청작,,
2017,서울국제청소년영화제,청소년,누군가의 소파,"안현송,김민이,김수정",경쟁 13+,,
2017,서울국제청소년영화제,청소년,변성기,박준호,경쟁 19+,,
