연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2008,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),신의 아이들,이승준,As-Asian Section,,
2008,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),똥파리,양익준,Competition,,
2008,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),미쓰 홍당무,이경미,As-Asian Section,,
2008,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),어떤 개인 날,"고태정,이숙경",.,,
2008,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),지구에서 사는 법,안슬기,D-Cinema,,
2008,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),낮술,노영석,New Talents,,
2008,첸나이 국제영화제,일반(종합),해안선,김기덕,Retrospective,,
2008,첸나이 국제영화제,일반(종합),봄 여름 가을 겨울 그리고 봄,김기덕,Retrospective,,
2008,첸나이 국제영화제,일반(종합),숨,김기덕,Retrospective,,
2008,첸나이 국제영화제,일반(종합),사이코패스,김신혜,,,
2008,첸나이 국제영화제,일반(종합),시간,김기덕,Retrospective,,
2008,황금촬영상 시상식,일반(종합),엠,이명세,,신인여우상,이연희
2008,황금촬영상 시상식,일반(종합),용의주도 미스신,박용집,,신인여우상,한예슬
2008,황금촬영상 시상식,일반(종합),추격자,나홍진,,신인감독상,나홍진
2008,황금촬영상 시상식,일반(종합),추격자,나홍진,,최우수 남우주연상,하정우
2008,황금촬영상 시상식,일반(종합),행복,허진호,,촬영상 - 금상,김형구
2008,황금촬영상 시상식,일반(종합),기담,"정식,정범식",,신인남우상,진구
2008,황금촬영상 시상식,일반(종합),궁녀,김미정,,최우수 여우주연상,박진희
2008,서울독립영화제,독립,기차를 세워주세요,한지혜,,,
2008,서울독립영화제,독립,여로를 위하여!,반소현,본선경쟁,,
2008,케랄라 국제영화제,일반(종합),숨,김의균,World Cinema,,
2008,두바이 국제영화제,일반(종합),,,Muhr AsiaAfrica Short,,
2008,두바이 국제영화제,일반(종합),추격자,나홍진,Cinema of AsiaAfrica,,
2008,두바이 국제영화제,일반(종합),제불찰씨 이야기,"곽인근,김일현,류지나,이혜영,이은미",Animation,,
2008,두바이 국제영화제,일반(종합),할매꽃,문정현,"Competition,Muhr AsiaAfrica Documentary",,
2008,여성영화인축제,일반(종합),세븐 데이즈,원신연,,기술상,이은주
2008,여성영화인축제,일반(종합),추격자,나홍진,,제작자상,김수진
2008,여성영화인축제,일반(종합),미쓰 홍당무,이경미,,감독상,이경미
2008,여성영화인축제,일반(종합),미쓰 홍당무,이경미,,연기상,공효진
2008,여성영화인축제,일반(종합),우리 생애 최고의 순간,임순례,,올해의 여성영화인상,임순례
2008,대한민국 대학영화제,일반(종합),아내가 결혼했다,정윤수,,,
2008,대한민국 대학영화제,일반(종합),밥,정세진,,,
2008,대한민국 대학영화제,일반(종합),나쁜놈들,심덕근,,,
2008,대한민국 대학영화제,일반(종합),우리 집에 놀러 오세요,안국진,,,
2008,대한민국 대학영화제,일반(종합),수퍼살롱미장원,정민규,,,
2008,대한민국 대학영화제,일반(종합),오늘도 순이는 열심히!,전성태,,,
2008,대한민국 대학영화제,일반(종합),봄에 피어나다,정지연,,,
2008,대한민국 대학영화제,일반(종합),앉짜,박현용,,,
2008,대한민국 대학영화제,일반(종합),"29, 정아",최혜선,,,
2008,대한민국 대학영화제,일반(종합),고고 70,최호,,여우조연상,신민아
2008,대한민국 대학영화제,일반(종합),세븐 데이즈,원신연,,남우조연상,박희순
2008,대한민국 대학영화제,일반(종합),아내가 결혼했다,정윤수,,여우주연상,손예진
2008,대한민국 대학영화제,일반(종합),추격자,나홍진,,남우주연상,김윤석
2008,대한민국 대학영화제,일반(종합),추격자,나홍진,,올해의 감독상,나홍진
2008,디렉터스 컷 어워즈,일반(종합),우린 액션배우다,정병길,,올해의 독립영화감독상,정병길
2008,디렉터스 컷 어워즈,일반(종합),"좋은 놈, 나쁜 놈, 이상한 놈",김지운,,올해의 감독상,김지운
2008,디렉터스 컷 어워즈,일반(종합),추격자,나홍진,,올해의 남자배우상,하정우
2008,디렉터스 컷 어워즈,일반(종합),서양 골동 양과자점 앤티크,민규동,,올해의 새로운 남자배우상,유아인
2008,디렉터스 컷 어워즈,일반(종합),미쓰 홍당무,이경미,,올해의 여자배우상,공효진
