연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2009,베니스 국제영화제 - 비평가주간,일반(종합),카페 느와르,정성일,,,
2009,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),멋진 하루,이윤기,Focus on South Korea,,
2009,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),잘 알지도 못하면서,홍상수,Focus on South Korea,,
2009,첸나이 국제영화제,일반(종합),활,김기덕,World Cinema,,
2009,첸나이 국제영화제,일반(종합),어린 신부,김호준,World Cinema,,
2009,첸나이 국제영화제,일반(종합),나무없는 산,김소영,World Cinema,,
2009,첸나이 국제영화제,일반(종합),청연,윤종찬,World Cinema,,
2009,첸나이 국제영화제,일반(종합),빈집,김기덕,World Cinema,,
2009,디렉터스 컷 어워즈,일반(종합),박쥐,박찬욱,,올해의 감독상,박찬욱
2009,디렉터스 컷 어워즈,일반(종합),마더,봉준호,,올해의 여자연기자상,김혜자
2009,디렉터스 컷 어워즈,일반(종합),박쥐,박찬욱,,올해의 남자연기자상,송강호
2009,디렉터스 컷 어워즈,일반(종합),똥파리,양익준,,올해의 독립영화감독상,양익준
2009,디렉터스 컷 어워즈,일반(종합),과속스캔들,강형철,,올해의 여자신인연기자상,박보영
2009,디렉터스 컷 어워즈,일반(종합),국가대표,김용화,,올해의 남자신인연기자상,김동욱
2009,디렉터스 컷 어워즈,일반(종합),해운대,윤제균,,올해의 제작자상,윤제균
2009,프레쉬 국제비디오아트&단편영화제,단편,공진화,권아람,Immient Visual Language Part 1: Indeterminate Consciousness,,
2009,프레쉬 국제비디오아트&단편영화제,단편,"재생되다, 부활하다 part1 - 재생되다",전우진,Immient Visual Language Part 1: Indeterminate Consciousness,,
2009,프레쉬 국제비디오아트&단편영화제,단편,환생,강유란,Immient Visual Language Part 1: Indeterminate Consciousness,,
2009,프레쉬 국제비디오아트&단편영화제,단편,뽀뽀고양이,"황혜조,황지혜,김휘훈",Immient Visual Language Part 3: Dawn Maya,,
2009,프레쉬 국제비디오아트&단편영화제,단편,안녕! 화장실,조용환,Immient Visual Language Part 2: Panic /picnic,,
2009,프레쉬 국제비디오아트&단편영화제,단편,무제,이재홍,Immient Visual Language Part 2: Panic /picnic,,
2009,프레쉬 국제비디오아트&단편영화제,단편,금지된 장난,정지숙,Immient Visual Language Part 2: Panic /picnic,,
2009,프레쉬 국제비디오아트&단편영화제,단편,잊을 수 없는 이야기,조연수,Immient Visual Language Part 3: Dawn Maya,,
2009,프레쉬 국제비디오아트&단편영화제,단편,뽀뽀고양이,"황혜조,황지혜,김휘훈",Immient Visual Language Part 3: Dawn Maya,,
2009,프레쉬 국제비디오아트&단편영화제,단편,True Romance TheBeginning,조운,Immient Visual Language Part 2: Panic /picnic,,
2009,시그라프,애니,다트,"조성빈,함기수",,,
2009,시그라프,애니,톰 앤 제리,최진성,Computer Animation Festival,,
2009,시그라프,애니,버닝 스테이지,양선우,Computer Animation Festival,,
2009,시그라프,애니,고양이 입 속으로 뛰어들다,최진성,Computer Animation Festival,,
2009,케랄라 국제영화제,일반(종합),비몽,김기덕,World Cinema,,
2009,서울독립영화제,독립,당신의 바벨탑,임하니,,,
2009,케랄라 국제영화제,일반(종합),허수아비들의 땅,노경태,World Cinema,,
2009,케랄라 국제영화제,일반(종합),나무없는 산,김소영,World Cinema,,
2009,서울독립영화제,독립,락 닭,박인범,,,
2009,서울독립영화제,독립,픽토그램 스토리,조주상,,,
2009,페스티벌 온 휠즈 영화제,일반(종합),김씨표류기,이해준,International Competition,,
2009,페스티벌 온 휠즈 영화제,일반(종합),여행자,우니 르콩트,International Golden Bull Competition,,
2009,두바이 국제영화제,일반(종합),마더,봉준호,Muhr AsiaAfrica - Feature Competition,Best Screenplay,
2009,두바이 국제영화제,일반(종합),남매의 집,조성희,Muhr AsiaAfrica Short Films Competition,Special Jury Prize,
2009,두바이 국제영화제,일반(종합),멋진 하루,이윤기,Cinema of AsiaAfrica,,
2009,여성영화인축제,일반(종합),파주,박찬옥,,올해의 여성영화인상,박찬옥
2009,여성영화인축제,일반(종합),외박,김미례,,다큐멘터리상,김미례
2009,여성영화인축제,일반(종합),마더,봉준호,,연기상,김혜자
2009,여성영화인축제,일반(종합),마더,봉준호,,기술상,황현규
2009,여성영화인축제,일반(종합),거북이 달린다,이연우,,프로듀서상,이미영
2009,여성영화인축제,일반(종합),"지금, 이대로가 좋아요",부지영,,각본상,부지영
2009,마라케시 국제영화제,일반(종합),밀양,이창동,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),취화선,임권택,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),하녀,임상수,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),,,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),안개마을,임권택,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),지옥화,신상옥,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),달마가 동쪽으로 간 까닭은?,배용균,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),연산군,신상옥,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),검은 땅의 소녀와,전수일,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),자유부인,한형모,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),나그네는 길에서도 쉬지 않는다,이장호,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),태극기 휘날리며,강제규,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),그들도 우리처럼,박광수,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),똥파리,양익준,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),이어도,김기영,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),살인의 추억,봉준호,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),왕의 남자,이준익,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),추격자,나홍진,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),박하사탕,이창동,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),김약국의 딸들,유현목,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),"여자, 정혜",이윤기,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),서편제,임권택,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),올드보이,박찬욱,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),연산군,신상옥,Tribute to South Korean Cinema,,
2009,마라케시 국제영화제,일반(종합),산불,김수용,Tribute to South Korean Cinema,,
