year,film_festival,title,director,field,award,genre,plot,rating,runtime,prodYear,actors,img_link,stills
2021,소리아 국제단편영화제,조지아,제이 박,,,"가족,범죄",병들고 가난한 부부가 딸의 억울한 죽음을 규명하기 위해 나선다. 가해자를 밝히지도 못한 채 졸속으로 마무리된 딸의 자살 사건에 경찰이 재조사를 거부하자 컴맹 부부는 재수사를 촉구하는 현수막을 직접 제작하기로 한다. 남다른 감성으로 쌓아올린 통렬한 비극. (강소원),12세관람가,29,2020,"이양희,이채경,김규남",https://ssl.pstatic.net/imgmovie/mdi/mit110/1989/198972_P05_171945.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/55/40/tn_DST704300.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/40/tn_DST704301.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/40/tn_DST704302.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/40/tn_DST704303.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/55/40/tn_DST704304.jpg"
2021,보고타 단편영화제,미미(美味): 궁극의 식사,한재원,경쟁부문,,"코메디,공포",미각을 잃은 미식 유튜버 성호는 어딘가 기괴한 음식점에 방문한다.,,19,2020,"김최용준,정경임,이종윤",https://ssl.pstatic.net/imgmovie/mdi/mit110/2000/200057_P00_115805.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/59/36/tn_DST746646.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/36/tn_DST746647.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/36/tn_DST746648.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/36/tn_DST746649.jpg"
2021,엑상프로방스 국제단편영화제,아이즈앤혼즈,임채린,International Competition of Experimental Shorts,,기타,,,,,,https://ssl.pstatic.net/imgmovie/mdi/mit110/2050/205061_P01_163835.jpg,
2021,서울독립영화제,절해고도,김미영,페스티벌 초이스,,드라마,"절해고도. '육지에서 멀리 떨어진 바다의 외딴 섬'이라는 뜻을 지닌 제목은 삶의 표류와 고독, 혹은 미지를 담담한 자태로 그려내는 이 영화의 성찰적인 정서와 지극히 잘 어울린다. 윤철(박종환)은 조각가이지만 주로 인테리어 일을 하면서 생활을 유지한다. 그는 이혼한 아빠인데, 딸 지나(이연)는 아빠를 닮아 미술에 소질이 있지만 고등학교 생활에 적응하지 못하며 문제아로 낙인찍힌다. 한 편 윤철은 영지(강경헌)라는 매력적인 여인을 만나 늦은 나이에 사랑에 빠지게 된다.  절해고도 의 인물들은 인생의 절대적 사건 앞에서도 호들갑을 떨지 않으며, 비극적인 전환과 기습적인 변화에도 의연한 자세를 갖춘다. 신중한 연기, 유려한 구성과 촬영, 성숙한 자세 등으로 깊은 성찰의 시간을 경험케 한다. (정한석)",,116,2021,"박종환,이연,강경헌",https://ssl.pstatic.net/imgmovie/mdi/mit110/2097/209725_P01_134325.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/59/13/tn_DST743897.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/13/tn_DST743898.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/13/tn_DST743899.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/13/tn_DST743900.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/13/tn_DST743901.jpg"
2021,서울독립영화제,장갑을 사러,이현주,단편경쟁,,멜로/로맨스,"피아노를 가르치는 인경은 연인의 일본 발령 소식에 일본어 학원을 다니기 시작한다. 일본어를 왜 배우는지 스스로 대답을 찾지 못한 채 그의 출국일이 다가온다. 그녀는 답을 찾게 될까? 딱히 드라마랄 것도 없이 고요하게 감정의 축조를 쌓아 올리는데, 그 기운이 예사롭지 않다. (강소원)",,29,2021,"김정민,양종욱,김하람",https://ssl.pstatic.net/imgmovie/mdi/mit110/2097/209796_P01_103415.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/59/12/tn_DST743874.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/12/tn_DST743875.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/12/tn_DST743876.jpg"
2021,서울독립영화제,죽으러가는길,이주승,페스티벌 초이스,,기타,,,,,,,
2021,서울독립영화제,듣보인간의 생존신고,서원태,본선 장편경쟁,,기타,,,,,,,
2021,서울독립영화제,거북이와 여자들,한선희,페스티벌 초이스,,기타,,,,,,https://ssl.pstatic.net/imgmovie/mdi/mit110/2115/211569_P01_102010.jpg,
2021,서울독립영화제,내일의 연인들,김양희,페스티벌 초이스,,"드라마,멜로/로맨스","29세의 대학원생 정안은 어느 날, 선애 누나의 전화를 받는다. 선애는 엄마 친구의 딸로 어린 시절부터 함께 자라며 알고 지냈다. 5년 만에 연락한 선애는 이혼을 했다며 전남편과 함께 살던 빌라가 팔릴 때까지, 정안에게 집을 봐달라고 부탁한다.정안은 회사를 그만두고 대학원에 다니며 인생의 유예기간을 갖던 중이라 선애의 제안을 반갑게 여긴다. 만난 지 얼마 되지 않은 연인 지원과 단둘만의 시간을 갖고 싶었기 때문이다.공들여 꾸민 아늑한 선애의 집에서 정안과 지원은 마치 진짜 부부인 양 생활하며 서로에 대한 감정을 키워 나간다. 그리고 결코 행복해 보이지 않는 그들의 부모와 무슨 연유인지 몰라도 이 집을 떠나간 선애 부부를 생각하며, 언젠가는 찾아올 이별의 순간을 생각하게 된다.",,35,2021,"우지현,이태경,박소진",https://ssl.pstatic.net/imgmovie/mdi/mit110/2115/211568_P01_102308.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/59/37/tn_DST746699.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/37/tn_DST746700.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/37/tn_DST746701.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/37/tn_DST746702.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/59/37/tn_DST746703.jpg"
2021,서울독립영화제,돛대,이주승,페스티벌 초이스,,드라마,항상 계획을 세우지만 매번 실패하는 은구의 마지막 계획은 멋진 죽음이다.,,23,2021,"이주승,이상희",https://ssl.pstatic.net/imgmovie/mdi/mit110/2054/205401_P01_152107.jpg,"http://file.koreafilm.or.kr/thm/01/copy/00/57/44/tn_DST726688.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/44/tn_DST726689.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/44/tn_DST726690.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/44/tn_DST726691.jpg,http://file.koreafilm.or.kr/thm/01/copy/00/57/44/tn_DST726687.jpg"
