연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2004,모스크바어린이영화제,청소년,보리울의 여름,이민용,.,,
2004,대한민국 대학영화제,일반(종합),바람난 가족,임상수,,올해의 여자 배우,문소리
2004,대한민국 대학영화제,일반(종합),올드보이,박찬욱,,올해의 감독상,박찬욱
2004,대한민국 대학영화제,일반(종합),올드보이,박찬욱,,올해의 남자 배우,최민식
2004,서울독립영화제,독립,아빠,이수진,,특별상,이수진
2004,서울독립영화제,독립,세라진,김성숙,본선경쟁,,
2004,서울독립영화제,독립,계속된다-미등록 이주노동자 기록되다,주현숙,본선경쟁,,
2004,서울독립영화제,독립,진실의 문,김희철,본선경쟁,,
2004,서울독립영화제,독립,배고픈 하루,김동현,본선경쟁,대상,김동현
2004,서울독립영화제,독립,나와 인형놀이,김경묵,본선경쟁,,
2004,서울독립영화제,독립,세 개의 멜로,김은희,본선경쟁,,
2004,서울독립영화제,독립,"708호, 이등병의 편지",김환태,본선경쟁,,
2004,서울독립영화제,독립,맨손으로 죽여라?,강효진,본선경쟁,,
2004,서울독립영화제,독립,남자다운 수다,홍덕표,본선경쟁,,
2004,여성영화인축제,일반(종합),거미숲,송일곤,,음악상,윤민화
2004,여성영화인축제,일반(종합),령,"이인규,김태경",,기술상,남진아
2004,광화문국제단편영화제,단편,잘돼가? 무엇이든,이경미,국제경쟁,대상,이경미
2004,여성영화인축제,일반(종합),아는 여자,장진,,연기상,이나영
2004,여성영화인축제,일반(종합),엄마...,류미례,,다큐멘터리상,류미례
2004,여성영화인축제,일반(종합),엄마...,류미례,,올해의 여성영화인상,류미례
2004,여성영화인축제,일반(종합),인어 공주,박흥식,,각본상,송혜진
2004,디렉터스 컷 어워즈,일반(종합),범죄의 재구성,최동훈,,올해의 신인 감독상,최동훈
2004,디렉터스 컷 어워즈,일반(종합),인어 공주,박흥식,,올해의 여자배우상,전도연
2004,디렉터스 컷 어워즈,일반(종합),가족,이정철,,올해의 새로운 여자배우상,수애
2004,디렉터스 컷 어워즈,일반(종합),그녀를 믿지 마세요,배형준,,올해의 새로운 남자배우상,강동원
2004,디렉터스 컷 어워즈,일반(종합),올드보이,박찬욱,,올해의 감독상,박찬욱
2004,디렉터스 컷 어워즈,일반(종합),올드보이,박찬욱,,올해의 제작자상,김동주
2004,디렉터스 컷 어워즈,일반(종합),올드보이,박찬욱,,올해의 남자배우상,최민식
2004,누아르 인 페스티벌,호러/스릴러,인형사,정용기,경쟁,,
2004,탈린 블랙나이츠 영화제,일반(종합),빈집,김기덕,유라시아 경쟁,"특별언급,에스토니아 비평가상, 심사위원상, 관객상",김기덕
2004,자카르타 국제영화제,일반(종합),초록물고기,이창동,특별전,,
2004,탈린 블랙나이츠 영화제,일반(종합),쓰리 몬스터,"미이케 다카시,박찬욱,프루트 챈",비경쟁,,
2004,앵커리지 국제영화제,일반(종합),스캔들-조선남녀상열지사,이재용,장편 경쟁,,
2004,자카르타 국제영화제,일반(종합),오아시스,이창동,특별전,,
2004,자카르타 국제영화제,일반(종합),박하사탕,이창동,특별전,,
2004,탈린 블랙나이츠 영화제,일반(종합),올드보이,박찬욱,Selected Titles,,
2004,탈린 블랙나이츠 영화제,일반(종합),사마리아,김기덕,Eastern Sunrise,,
2004,브라티슬라바 국제영화제,일반(종합),빈집,김기덕,Premieres,,
2004,애니마드리드,애니,망치,안태근,국제장편영화,,
2004,시체스 국제판타스틱영화제,판타지,사마리아,김기덕,Seven Chances,,
2004,브라티슬라바 국제영화제,일반(종합),올드보이,박찬욱,Premieres,,
2004,시체스 국제판타스틱영화제,판타지,남극일기,임필성,,,
2004,시체스 국제판타스틱영화제,판타지,올드보이,박찬욱,"경쟁 부문, FANTASTIC",,
2004,브라티슬라바 국제영화제,일반(종합),사마리아,김기덕,Off the Mainstream,,
2004,시체스 국제판타스틱영화제,판타지,친절한 금자씨,박찬욱,,,
2004,시체스 국제판타스틱영화제,판타지,아라한 장풍대작전,류승완,.,,
2004,브라티슬라바 국제영화제,일반(종합),비디오를 보는 남자,김학순,Int'I Competition,,
2004,시체스 국제판타스틱영화제,판타지,여고괴담 4 : 목소리,최익환,,,
2004,브라티슬라바 국제영화제,일반(종합),살인의 추억,봉준호,Off the Mainstream,,
2004,시체스 국제판타스틱영화제,판타지,쓰리 몬스터,"미이케 다카시,박찬욱,프루트 챈",경쟁 부문,,
2004,브라티슬라바 국제영화제,일반(종합),봄 여름 가을 겨울 그리고 봄,김기덕,Off the Mainstream,,
2004,시체스 국제판타스틱영화제,판타지,혈의 누,김대승,,,
2004,시체스 국제판타스틱영화제,판타지,달콤한 인생,김지운,,,
2004,카이로 국제영화제,일반(종합),비디오를 보는 남자,김학순,,,
2004,인도 국제영화제,일반(종합),마리이야기,이성강,.,,
2004,대한민국 영화대상,일반(종합),올드보이,박찬욱,,음악상,심현정
2004,대한민국 영화대상,일반(종합),올드보이,박찬욱,,음악상,조영욱
2004,대한민국 영화대상,일반(종합),올드보이,박찬욱,,조명상,박현원
2004,대한민국 영화대상,일반(종합),가족,이정철,,신인여우상,수애
2004,대한민국 영화대상,일반(종합),인어 공주,박흥식,,여우조연상,고두심
