연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2019,대한민국 인성영화제,일반(종합),뿔,김시현,일반경쟁,우수상,김시현
2019,타고르 국제영화제,일반(종합),시름,한소현,Monthly Selection - November : Best Editing (Fiction & Documentary),BEST EDITING,한소현
2019,타고르 국제영화제,일반(종합),시름,한소현,Monthly Selection - November : Best Cinematography (Fiction & Documentary),BEST CINEMATOGRAPHY,한소현
2019,타고르 국제영화제,일반(종합),시름,한소현,Monthly Selection - November : Film on Religion,Best Film on Religion,한소현
2019,첸나이 국제영화제,일반(종합),기생충,봉준호,World Movies,,
2019,한국영화제작가협회상,일반(종합),엑시트,이상근,,기술상,정도안
2019,한국영화제작가협회상,일반(종합),기생충,봉준호,,감독상,봉준호
2019,한국영화제작가협회상,일반(종합),기생충,봉준호,,조명상,김창호
2019,한국영화제작가협회상,일반(종합),기생충,봉준호,,미술상,이하준
2019,한국영화제작가협회상,일반(종합),국가부도의 날,최국희,,각본상,엄성민
2019,한국영화제작가협회상,일반(종합),증인,이한,,남우주연상,정우성
2019,한국영화제작가협회상,일반(종합),생일,이종언,,여우주연상,전도연
2019,한국영화제작가협회상,일반(종합),스윙키즈,강형철,,남우조연상,오정세
2019,한국영화제작가협회상,일반(종합),벌새,김보라,,작품상,김보라
2019,한국영화제작가협회상,일반(종합),스윙키즈,강형철,,음악상,김준석
2019,한국영화제작가협회상,일반(종합),나랏말싸미,조철현,,여우조연상,전미선
2019,한국영화제작가협회상,일반(종합),봉오동 전투,원신연,,촬영상,김영호
2019,한국영화제작가협회상,일반(종합),봉오동 전투,원신연,,음향상,공태원
2019,한국영화제작가협회상,일반(종합),극한직업,이병헌,,편집상,남나영
2019,한국영화제작가협회상,일반(종합),벌새,김보라,,작품상,조수아
2019,한국영화제작가협회상,일반(종합),엑시트,이상근,,기술상,천래훈
2019,한국영화제작가협회상,일반(종합),나의 특별한 형제,육상효,,Kreative Thinking 상,
2019,월드 필름 카니발 싱가포르,일반(종합),시름,한소현,Monthly Selection - October : Film on Religion,Best Film on Religion,한소현
2019,여성영화인축제,일반(종합),엑시트,이상근,,올해의 여성영화인상,강혜정
2019,여성영화인축제,일반(종합),기생충,봉준호,,제작자상,곽신애
2019,여성영화인축제,일반(종합),엑시트,이상근,,신인연기상,임윤아
2019,여성영화인축제,일반(종합),벌새,김보라,,감독상,김보라
2019,여성영화인축제,일반(종합),82년생 김지영,김도영,,연기상,정유미
2019,여성영화인축제,일반(종합),이타미 준의 바다,정다운,,다큐멘터리상,정다운
2019,여성영화인축제,일반(종합),메기,이옥섭,,기술상,김희진
2019,여성영화인축제,일반(종합),생일,이종언,,각본상,이종언
