연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2021,런던 리프트오프 영화제,일반(종합),뉴타운 생존자 수색작전,강민구,December 2021 Trendsetter Features,,강민구
2021,제주영화제,일반(종합),모가디슈,류승완,한국영화초이스,,
2021,제주영화제,일반(종합),바다의 양식,,제주트멍,,
2021,제주영화제,일반(종합),쓸모 없는 녀석,김중회,제주트멍,,
2021,제주영화제,일반(종합),낮과 달,이영아,개막작,,
2021,제주영화제,일반(종합),섬이없는지도,김성은,제주트멍,,
2021,제주영화제,일반(종합),자산어보,이준익,아일랜드시네마,,
2021,제주영화제,일반(종합),저는 잘 있어요,문재웅,제주트멍,,
2021,울산국제영화제,일반(종합),불도저에 탄 소녀,박이웅,비경쟁,,
2021,소리아 국제단편영화제,단편,조지아,제이 박,,,
2021,울산국제영화제,일반(종합),아시타비,김영찬,위프 파운데이션,,
2021,울산국제영화제,일반(종합),(BLANK),이가은,2021 상영작 위프 파운데이션,,
2021,울산국제영화제,일반(종합),무흘골,이영석,위프 파운데이션,,
2021,보고타 단편영화제,단편,미미(美味): 궁극의 식사,한재원,경쟁부문,,
2021,알레 키노 영 오디언스 영화제,청소년,아이들은 즐겁다,이지원,People for People,,
2021,여성인권영화제,일반(종합),높이뛰기,정수진,,,
2021,전북여성인권영화제,일반(종합),마리아와 비욘세,,,,
2021,전북여성인권영화제,일반(종합),청춘선거,민환기,,,
2021,여성인권영화제,일반(종합),역량향상교육,,경쟁,,
2021,알레 키노 영 오디언스 영화제,청소년,아이들은 즐겁다,이지원,Feature Films - Competition,Association of Polish Filmmakers - Best Feature Film for Children of High Artistic Value,이지원
2021,알레 키노 영 오디언스 영화제,청소년,아이들은 즐겁다,이지원,Feature Films - Competition,MARCINEK Feature Film,이지원
2021,알레 키노 영 오디언스 영화제,청소년,아이들은 즐겁다,이지원,Feature Films - Competition,International Jury of Film Educators - Special mention,이지원
2021,알레 키노 영 오디언스 영화제,청소년,아이들은 즐겁다,이지원,Feature Films - Competition,ZEF Film Educators Team - Honourable mention,이지원
2021,브르노 영화제,일반(종합),뉴타운 생존자 수색작전,강민구,Best First Time Director (Feature),Best First Time Director (Feature),강민구
2021,싱가포르 국제영화제,일반(종합),당신얼굴 앞에서,홍상수,Foreground,,
2021,싱가포르 국제영화제,일반(종합),구멍,한옥희,Domain,,
2021,조크자카르타-넷팩 아시아영화제,일반(종합),올드보이,박찬욱,Classic,,
2021,토리노 영화제,일반(종합),혼자 사는 사람들,홍성은,Torino 39,,
2021,올림피아 국제아동청소년영화제,청소년,찾아라 달팽이!,김다윤,In Competition - Fiction Short Films,,
