연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2010,앙카라 국제영화제,일반(종합),똥파리,양익준,From All Over The World,,
2010,앙카라 국제영화제,일반(종합),호로자식을 위하여,윤혜렴,Official Competition,,
2010,모로디스트 - 키예프 국제영화제,일반(종합),하녀,임상수,Official Selection,,
2010,디렉터스 컷 어워즈,일반(종합),방자전,김대우,,올해의 남자신인연기상,송새벽
2010,디렉터스 컷 어워즈,일반(종합),경계도시 2,홍형숙,,올해의 독립영화감독상,홍형숙
2010,디렉터스 컷 어워즈,일반(종합),아저씨,이정범,,올해의 제작자상,이태헌
2010,디렉터스 컷 어워즈,일반(종합),악마를 보았다,김지운,,올해의 남자연기자상,최민식
2010,디렉터스 컷 어워즈,일반(종합),김복남 살인사건의 전말,장철수,,올해의 여자연기자상,서영희
2010,디렉터스 컷 어워즈,일반(종합),김복남 살인사건의 전말,장철수,,올해의 신인감독상,장철수
2010,디렉터스 컷 어워즈,일반(종합),부당거래,류승완,,올해의 감독상,류승완
2010,디렉터스 컷 어워즈,일반(종합),시라노; 연애조작단,김현석,,올해의 여자신인연기자상,이민정
2010,두바이 국제영화제,일반(종합),용산,문정현,Muhr AsiaAfrica Feature,,
2010,두바이 국제영화제,일반(종합),짐승의 끝,조성희,Muhr AsiaAfrica Feature,Special Mention,
2010,두바이 국제영화제,일반(종합),수선화(火),박종철,Muhr AsiaAfrica Feature,Second Prize,
2010,두바이 국제영화제,일반(종합),평범한 날들,이난,Muhr AsiaAfrica Feature,,
2010,케랄라 국제영화제,일반(종합),애니멀 타운,전규환,Competition,,
2010,두바이 국제영화제,일반(종합),시,이창동,Cinema of AsiaAfrica,,
2010,티라나 국제영화제,일반(종합),하늘과 바다,봉수,장편경쟁부문,미디어상,
2010,서울독립영화제,독립,오월愛,김태일,본선경쟁작,,
2010,할리우드릴독립영화제,일반(종합),얼라이브 인 하바나,조현준,공식경쟁,,
2010,대한민국 대학영화제,일반(종합),아버지의 이름으로,손종규,,최우수상,손종규
2010,대한민국 대학영화제,일반(종합),로봇,"조진우,김기은",,심사위원 특별상,
2010,대한민국 대학영화제,일반(종합),로봇,"조진우,김기은",,심사위원 특별상,김기은
2010,대한민국 대학영화제,일반(종합),얼어붙은 땅,김태용,,대상,김태용
2010,대한민국 대학영화제,일반(종합),엄마는 창녀다,이상우,,최우수상,이상우
2010,대한민국 대학영화제,일반(종합),순환 1호선,강종석,,우수상,강종석
2010,대한민국 대학영화제,일반(종합),나를 믿어줘,김진영,,여우주연상,김가윤
2010,대한민국 대학영화제,일반(종합),아버지의 이름으로,손종규,,남우주연상,허준석
2010,대한민국 대학영화제,일반(종합),버스,장재현,,촬영상,장재현
2010,대한민국 대학영화제,일반(종합),짧은 기억,정승민,,미술상,정승민
2010,대한민국 대학영화제,일반(종합),풋! 고추 이야기,김수랑,,집행위원장상,김수랑
