연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2016,대종상영화제,일반(종합),곡성,나홍진,,촬영상,홍경표
2016,대종상영화제,일반(종합),내부자들,우민호,,감독상,우민호
2016,대종상영화제,일반(종합),귀향,조정래,,뉴 라이징상,최리
2016,대종상영화제,일반(종합),인천상륙작전,이재한,,뉴 라이징상,김희진
2016,대종상영화제,일반(종합),내부자들,우민호,,남우주연상,이병헌
2016,대종상영화제,일반(종합),내부자들,우민호,,시나리오상,우민호
2016,대종상영화제,일반(종합),곡성,나홍진,,녹음상,김신용
2016,대종상영화제,일반(종합),밀정,김지운,,남우조연상,엄태구
2016,대종상영화제,일반(종합),밀정,김지운,,미술상,조화성
2016,대종상영화제,일반(종합),인천상륙작전,이재한,,인기상,이범수
2016,대종상영화제,일반(종합),4등,정지우,,신인남자배우상,정가람
2016,대종상영화제,일반(종합),내부자들,우민호,,기획상,김원국
2016,대종상영화제,일반(종합),덕혜옹주,허진호,,여우주연상,손예진
2016,대종상영화제,일반(종합),덕혜옹주,허진호,,여우조연상,라미란
2016,대종상영화제,일반(종합),덕혜옹주,허진호,,음악상,최용락
2016,대종상영화제,일반(종합),덕혜옹주,허진호,,의상상,권유진
2016,대종상영화제,일반(종합),곡성,나홍진,,편집상,김선민
2016,대종상영화제,일반(종합),귀향,조정래,,신인감독상,조정래
2016,대종상영화제,일반(종합),대호,박훈정,,기술상,조용석
2016,대종상영화제,일반(종합),내부자들,우민호,,최우수작품상,우민호
2016,대종상영화제,일반(종합),곡성,나홍진,,조명상,김창호
2016,한국영화제작가협회상,일반(종합),부산행,연상호,,기술상,박경수
2016,한국영화제작가협회상,일반(종합),부산행,연상호,,기술상,정도안
2016,한국영화제작가협회상,일반(종합),아가씨,박찬욱,,음향상,김석원
2016,한국영화제작가협회상,일반(종합),귀향,조정래,,kreative thinking 상,
2016,한국영화제작가협회상,일반(종합),내부자들,우민호,,편집상,김재범
2016,한국영화제작가협회상,일반(종합),내부자들,우민호,,편집상,김상범
2016,한국영화제작가협회상,일반(종합),곡성,나홍진,,조명상,김창호
2016,한국영화제작가협회상,일반(종합),밀정,김지운,,미술상,조화성
2016,한국영화제작가협회상,일반(종합),곡성,나홍진,,촬영상,홍경표
2016,한국영화제작가협회상,일반(종합),부산행,연상호,,각본상,박주석
2016,한국영화제작가협회상,일반(종합),내부자들,우민호,,남우주연상,이병헌
2016,한국영화제작가협회상,일반(종합),덕혜옹주,허진호,,여우주연상,손예진
2016,한국영화제작가협회상,일반(종합),부산행,연상호,,남우조연상,김의성
2016,한국영화제작가협회상,일반(종합),검은 사제들,장재현,,여우조연상,박소담
2016,한국영화제작가협회상,일반(종합),곡성,나홍진,,감독상,나홍진
2016,한국영화제작가협회상,일반(종합),내부자들,우민호,,작품상,
2016,한국영화제작가협회상,일반(종합),밀정,김지운,,음악상,모그
2016,코스타리카 국제영화제,일반(종합),지금은맞고그때는틀리다,홍상수,International Panorama,,
2016,코스타리카 국제영화제,일반(종합),아가씨,박찬욱,International Panorama,,
2016,PGK어워즈,일반(종합),"무현, 두 도시 이야기",전인환,,올해의 프로듀서상,조은성
2016,PGK어워즈,일반(종합),대배우,석민우,,신인 프로듀서상,조성환
2016,PGK어워즈,일반(종합),부산행,연상호,,올해의 프로듀서상,이동하
2016,마카오 국제영화제,일반(종합),부산행,연상호,,Asian Blockbuster Film of the Year,연상호
2016,마카오 국제영화제,일반(종합),판도라,박정우,GALA,,
2016,마카오 국제영화제,일반(종합),위대한 유산,장근석,SPECIAL PRESENTATION,,
2016,두바이 국제영화제,일반(종합),그물,김기덕,Cinema of the World,,
2016,앵커리지 국제영화제,일반(종합),그린라이트,김성민,Animation,,
2016,필마시아 영화제,일반(종합),곡성,나홍진,,,
2016,필마시아 영화제,일반(종합),아가씨,박찬욱,,,
2016,서울세계단편영화제,단편,여름이 지나간 자리,민현기,,동상,민현기
2016,필마시아 영화제,일반(종합),밀정,김지운,,,
2016,필마시아 영화제,일반(종합),서울역,연상호,,,
2016,마라케시 국제영화제,일반(종합),밀정,김지운,"OPENING MOVIE, OUT OF COMPETITION",,
2016,필마시아 영화제,일반(종합),부산행,연상호,,,
2016,서울독립영화제,독립,인류의 영원한 테마,김현준,특별초청_단편7,관객상,김현준
2016,서울독립영화제,독립,분장,남연우,새로운선택7,새로운 선택상,남연우
2016,서울독립영화제,독립,라이츄의 입시지옥,김현,새로운선택4,심사위원 특별언급,김현
2016,서울독립영화제,독립,메리 크리스마스 미스터 모,임대형,경쟁부문_장편9,열혈스태프상,하헌진
2016,서울독립영화제,독립,공동정범,"김일란,이혁상",경쟁부문_장편8,독불장군상,이혁상
2016,서울독립영화제,독립,공동정범,"김일란,이혁상",경쟁부문_장편8,독불장군상,김일란
2016,서울독립영화제,독립,꿈의 제인,조현훈,경쟁부분_장편7,관객상,조현훈
2016,서울독립영화제,독립,노후 대책 없다,이동우,경쟁부문_장편1,대상,이동우
2016,서울독립영화제,독립,여름밤,이지원,경쟁부문_단편3,최우수작품상,이지원
2016,서울독립영화제,독립,순환하는 밤,백종관,경쟁부문_단편2,심사위원상,백종관
2016,서울독립영화제,독립,카프카,심명훈,특별초청_단편5,,
2016,서울독립영화제,독립,일어나기,유재현,경쟁부문_단편1,,
2016,서울독립영화제,독립,재꽃,박석영,개막작,,
2016,서울독립영화제,독립,위켄즈,이동하,특별초청_장편8,,
2016,서울독립영화제,독립,"김수영, 불온한 시절","오온유,임정서,권라임,김건영,문종현,배혜원",새로운선택3,,
2016,서울독립영화제,독립,소녀의 세계,"안정민,안정민",특별초청_장편7,,
2016,서울독립영화제,독립,빙빙,임철민,경쟁부문_단편1,,
2016,서울독립영화제,독립,깨끗하고 불빛 환한 곳,고재홍,특별초청_단편2,,
2016,서울독립영화제,독립,가현이들,윤가현,새로운선택8,,
2016,서울독립영화제,독립,"컴, 투게더",신동일,경쟁부문_장편6,,
2016,서울독립영화제,독립,홍어,연제광,경쟁부문_단편5,,
2016,서울독립영화제,독립,바위너구리들,임유리,경쟁부문_단편6,,
2016,서울독립영화제,독립,올 리브 올리브,"김태일,주로미",특별초청_장편4,,
