연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2002,누아르 인 페스티벌,호러/스릴러,복수는 나의 것,박찬욱,공식상영,,
2002,서울독립영화제,독립,"먼지, 사북을 묻다",미영,본선경쟁,집행위원회 특별상,미영
2002,서울독립영화제,독립,장애인 이동권 투쟁보고서-버스를 타자,박종필,본선경쟁,최우수작품상,박종필
2002,서울독립영화제,독립,안다고 말하지 마라,송혜진,본선경쟁,대상,송혜진
2002,서울독립영화제,독립,아버지의 노래를 들었네,이지선,본선경쟁,최우수 작품상,이지선
2002,서울독립영화제,독립,경계도시,홍형숙,본선경쟁,관객상,홍형숙
2002,서울독립영화제,독립,비가 내린다,오점균,본선경쟁,집행위원회 특별상,오점균
2002,서울독립영화제,독립,연분,이애림,본선경쟁,우수 작품상,이애림
2002,서울독립영화제,독립,서브웨이 키즈 2002,손정일,본선경쟁,,
2002,서울독립영화제,독립,빛 속의 휴식,채기,본선경쟁,독불장군상,채기
2002,청룡영화상,일반(종합),광복절 특사,김상진,,여우조연상,송윤아
2002,청룡영화상,일반(종합),2009로스트메모리즈,이시명,,기술상,장성호
2002,청룡영화상,일반(종합),취화선,임권택,,감독상,임권택
2002,청룡영화상,일반(종합),광복절 특사,김상진,,각본상,박정우
2002,청룡영화상,일반(종합),취화선,임권택,,최우수 작품상,
2002,청룡영화상,일반(종합),취화선,임권택,,촬영상,정일성
2002,청룡영화상,일반(종합),밀애,변영주,,여우주연상,김윤진
2002,청룡영화상,일반(종합),가문의 영광,정흥순,,한국영화 최다관객상,
2002,청룡영화상,일반(종합),오아시스,이창동,,신인여우상,문소리
2002,청룡영화상,일반(종합),공공의 적,강우석,,남우주연상,설경구
2002,청룡영화상,일반(종합),로드무비,김인식,,신인남우상,황정민
2002,청룡영화상,일반(종합),가문의 영광,정흥순,,남우조연상,유동근
2002,청룡영화상,일반(종합),로드무비,김인식,,신인감독상,김인식
2002,여성영화인축제,일반(종합),후아유,최호,,기술상,심보경
2002,여성영화인축제,일반(종합),경계도시,홍형숙,,다큐멘터리상,홍형숙
2002,여성영화인축제,일반(종합),오아시스,이창동,,연기상,문소리
2002,여성영화인축제,일반(종합),집으로...,이정향,,올해의 여성영화인상,이정향
2002,여성영화인축제,일반(종합),밀애,변영주,,프로듀서상,신혜은
2002,탈린 블랙나이츠 영화제,일반(종합),복수는 나의 것,박찬욱,공식상영,,
2002,탈린 블랙나이츠 영화제,일반(종합),수취인불명,김기덕,공식상영,,
2002,탈린 블랙나이츠 영화제,일반(종합),달마야 놀자,박철관,공식상영,,
2002,도쿄 필맥스,일반(종합),죽어도 좋아,박진표,경쟁부문,특별언급,
2002,도쿄 필맥스,일반(종합),오아시스,이창동,Special Screening,,
2002,도쿄 필맥스,일반(종합),챔피언,곽경택,Special Screening,,
2002,대한민국 영화대상,일반(종합),오아시스,이창동,,여우주연상,문소리
2002,대한민국 영화대상,일반(종합),오아시스,이창동,,신인여우상,문소리
2002,대한민국 영화대상,일반(종합),"결혼은, 미친짓이다",유하,,신인남우상,감우성
2002,대한민국 영화대상,일반(종합),와이키키 브라더스,임순례,,남우조연상,황정민
2002,대한민국 영화대상,일반(종합),오아시스,이창동,,최우수작품상,이창동
2002,대한민국 영화대상,일반(종합),복수는 나의 것,박찬욱,,편집상,김상범
2002,대한민국 영화대상,일반(종합),와이키키 브라더스,임순례,,여우조연상,오지혜
2002,대한민국 영화대상,일반(종합),오아시스,이창동,,감독상,이창동
2002,대한민국 영화대상,일반(종합),오아시스,이창동,,남우주연상,설경구
2002,춘사영화제,일반(종합),나쁜 남자,김기덕,,신인여우상,서원
2002,춘사영화제,일반(종합),복수는 나의 것,박찬욱,,편집상,김상범
2002,춘사영화제,일반(종합),오아시스,이창동,,여우주연상,문소리
2002,춘사영화제,일반(종합),오아시스,이창동,,남우주연상,설경구
2002,춘사영화제,일반(종합),오아시스,이창동,,감독상,이창동
2002,오슬로 국제영화제,일반(종합),고양이를 부탁해,정재은,Filmens Hus Tancred,,
2002,오슬로 국제영화제,일반(종합),나쁜 남자,김기덕,Filmens Hus Tancred,,
2002,스톡홀름 국제영화제,일반(종합),케이티,사카모토 준지,공식상영,,
2002,스톡홀름 국제영화제,일반(종합),"화장실, 어디에요?",프루트 챈,공식상영,,
2002,오슬로 국제영화제,일반(종합),오아시스,이창동,Filmens Hus Tancred,,
2002,스톡홀름 국제영화제,일반(종합),우렁각시,남기웅,공식상영,,
2002,스톡홀름 국제영화제,일반(종합),화산고,김태균,공식상영,,
2002,스톡홀름 국제영화제,일반(종합),,,공식상영,,
2002,부산국제영화제,일반(종합),"먼지, 사북을 묻다",미영,와이드 앵글,,
2002,BFI 런던 영화제,일반(종합),케이티,사카모토 준지,World Cinema,,
2002,BFI 런던 영화제,일반(종합),쓰리,"김지운,논지 니미부트르,진가신",World Cinema,,
2002,BFI 런던 영화제,일반(종합),오아시스,이창동,World Cinema,,
2002,BFI 런던 영화제,일반(종합),낙타(들),박기용,World Cinema,,
2002,BFI 런던 영화제,일반(종합),로드무비,김인식,World Cinema,,
2002,BFI 런던 영화제,일반(종합),죽어도 좋아,박진표,World Cinema,,
2002,BFI 런던 영화제,일반(종합),생활의 발견,홍상수,World Cinema,,
2002,빈테르터 국제단편영화제,,,,Impress Express,,
2002,테살로니키 국제영화제,일반(종합),돼지가 우물에 빠진 날,홍상수,New Horizon-Retrospective,,
2002,빈테르터 국제단편영화제,,,,한국아카데미특별전,,
2002,테살로니키 국제영화제,일반(종합),생활의 발견,홍상수,New Horizon-Retrospective,,
2002,AFI 영화제,일반(종합),취화선,임권택,Asian New Classics,,
2002,AFI 영화제,일반(종합),집으로...,이정향,Asian New Classics,,
2002,테살로니키 국제영화제,일반(종합),강원도의 힘,홍상수,New Horizon-Retrospective,,
2002,테살로니키 국제영화제,일반(종합),오! 수정,홍상수,New Horizon-Retrospective,,
2002,만하임-하이델베르크 국제영화제,일반(종합),집으로...,이정향,인터내셔널디스커버리,,
2002,대만 금마장 영화제,일반(종합),쓰리,"김지운,논지 니미부트르,진가신",경쟁부문,,
2002,만하임-하이델베르크 국제영화제,일반(종합),생활의 발견,홍상수,경쟁부문,,
2002,대구단편영화제,단편,눈물,부지영,,특별상,부지영
