연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2006,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),8월의 일요일들,이진우,D-cinema,,
2006,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),가족의 탄생,김태용,Competition,,
2006,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),다세포소녀,이재용,.,,
2006,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),경계,장률,Opening Film,,
2006,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),마지막 밥상,노경태,Competition,,
2006,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),후회하지 않아,이송희일,Competition,,
2006,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),해변의 여인,홍상수,panorama section AS-ASIAN SELECTION (non-competitive),,
2006,대한민국 대학영화제,일반(종합),괴물,봉준호,,올해의 감독상,봉준호
2006,대한민국 대학영화제,일반(종합),타짜,최동훈,,올해의 여자 배우,김혜수
2006,대한민국 대학영화제,일반(종합),타짜,최동훈,,올해의 남자 배우,조승우
2006,첸나이 국제영화제,일반(종합),스캔들-조선남녀상열지사,이재용,한국영화특별전,,
2006,첸나이 국제영화제,일반(종합),클래식,곽재용,한국영화특별전,,
2006,첸나이 국제영화제,일반(종합),아는 여자,장진,한국영화특별전,,
2006,첸나이 국제영화제,일반(종합),연애의 목적,한재림,한국영화특별전,,
2006,첸나이 국제영화제,일반(종합),내 생애 가장 아름다운 일주일,민규동,한국영화특별전,,
2006,첸나이 국제영화제,일반(종합),싱글즈,권칠인,한국영화특별전,,
2006,첸나이 국제영화제,일반(종합),너는 내 운명,박진표,한국영화특별전,,
2006,디렉터스 컷 어워즈,일반(종합),괴물,봉준호,,올해의 여자배우상,고아성
2006,디렉터스 컷 어워즈,일반(종합),"달콤, 살벌한 연인",손재곤,,올해의 신인 감독상,손재곤
2006,디렉터스 컷 어워즈,일반(종합),천하장사 마돈나,"이해영,이해준",,올해의 새로운 남자배우상,류덕환
2006,디렉터스 컷 어워즈,일반(종합),사생결단,최호,,올해의 새로운 여자배우상,추자현
2006,디렉터스 컷 어워즈,일반(종합),후회하지 않아,이송희일,,올해의 독립영화감독상,이송희일
2006,한국영화평론가협회상,일반(종합),후회하지 않아,이송희일,,신인남우상,이영훈
2006,한국영화평론가협회상,일반(종합),청연,윤종찬,,촬영상,윤홍식
2006,한국영화평론가협회상,일반(종합),청연,윤종찬,,여우주연상,장진영
2006,한국영화평론가협회상,일반(종합),비열한 거리,유하,,감독상,유하
2006,한국영화평론가협회상,일반(종합),음란서생,김대우,,신인감독상,김대우
2006,한국영화평론가협회상,일반(종합),라디오 스타,이준익,,음악상,방준석
2006,한국영화평론가협회상,일반(종합),라디오 스타,이준익,,남우주연상,안성기
2006,한국영화평론가협회상,일반(종합),아주 특별한 손님,이윤기,,신인여우상,한효주
2006,한국영화평론가협회상,일반(종합),가족의 탄생,김태용,,최우수 작품상,김태용
2006,한국영화평론가협회상,일반(종합),음란서생,김대우,,각본상,김대우
2006,한국영화평론가협회상,일반(종합),음란서생,김대우,,미술상,조근현
2006,디렉터스 컷 어워즈,일반(종합),해변의 여인,홍상수,,올해의 감독상,홍상수
2006,디렉터스 컷 어워즈,일반(종합),괴물,봉준호,,올해의 제작자상,최용배
2006,디렉터스 컷 어워즈,일반(종합),괴물,봉준호,,올해의 남자배우상,박해일
2006,디렉터스 컷 어워즈,일반(종합),괴물,봉준호,,올해의 남자배우상,변희봉
2006,디렉터스 컷 어워즈,일반(종합),괴물,봉준호,,올해의 남자배우상,송강호
2006,디렉터스 컷 어워즈,일반(종합),괴물,봉준호,,올해의 여자배우상,배두나
2006,자카르타 국제영화제,일반(종합),빈집,김기덕,파노라마,,
2006,두바이 국제영화제,일반(종합),괴물,봉준호,Insight From Asia,,
2006,서울독립영화제,독립,추위에 날무대가리가 터진 게지,오창민,경쟁부문 - 단편,,
2006,서울독립영화제,독립,레이디 퍼스트,이진우,경쟁부문 - 단편,,
2006,서울독립영화제,독립,스토리텔러,,경쟁부문 - 단편,,
2006,서울독립영화제,독립,성장통,반주영,경쟁부문 - 단편,,
2006,서울독립영화제,독립,지옥: 두개의 삶,연상호,경쟁부문 - 단편,,
2006,서울독립영화제,독립,클라우디 레이니,권아름,경쟁부문 - 단편,,
2006,서울독립영화제,독립,락큰롤에 있어 중요한 것 세가지,정병길,,,
2006,서울독립영화제,독립,우리들은 정의파다,이혜란,,,
2006,서울독립영화제,독립,얼음무지개,정재웅,경쟁부문 - 단편,,
2006,서울독립영화제,독립,도시락,여명준,경쟁부문 - 단편,,
2006,서울독립영화제,독립,도둑소년,민용근,경쟁부문 - 단편,,
2006,서울독립영화제,독립,살색미래,주명훈,경쟁부문 - 단편,,
2006,서울독립영화제,독립,우리가 대추리로 가는 이유,김지혜,경쟁부문 - 단편,,
2006,서울독립영화제,독립,착한아이,강혜연,경쟁부문 - 단편,,
2006,서울독립영화제,독립,무빙 파노라마,변재규,경쟁부문 - 단편,,
2006,서울독립영화제,독립,나비두더지,서명수,,,
2006,서울독립영화제,독립,부산광역시 수영구 광안3동,김숙현,경쟁부문 - 단편,,
2006,서울독립영화제,독립,졸업영화,윤성호,경쟁부문 - 단편,,
2006,서울독립영화제,독립,통조림,정지환,경쟁부문 - 단편,,
2006,서울독립영화제,독립,192-399: 더불어 사는 집 이야기,이현정,,,
2006,서울독립영화제,독립,떨,양경모,경쟁부문 - 단편,,
2006,서울독립영화제,독립,유년기의 끝,김재원,,,
2006,서울독립영화제,독립,이만원,최창환,경쟁부문 - 단편,,
2006,서울독립영화제,독립,벼룩아 울지마,이기욱,경쟁부문 - 단편,,
2006,서울독립영화제,독립,마지막 밥상,노경태,,,
2006,서울독립영화제,독립,바람이 분다,이진우,경쟁부문 - 단편,,
2006,서울독립영화제,독립,어느날 그 길에서,황윤,경쟁부문 - 단편,,
2006,서울독립영화제,독립,어려운 부탁,김기현,경쟁부문 - 단편,,
2006,서울독립영화제,독립,우연한 열정으로 노래 부르다 보면,권지영,,,
2006,서울독립영화제,독립,서울 스테이션,서원태,경쟁부문 - 단편,,
2006,서울독립영화제,독립,난년이,전선영,경쟁부문 - 단편,,
2006,청룡영화상,일반(종합),괴물,봉준호,,한국영화 최다관객상,봉준호
2006,청룡영화상,일반(종합),괴물,봉준호,,신인여우상,고아성
2006,청룡영화상,일반(종합),괴물,봉준호,,최우수작품상,봉준호
2006,청룡영화상,일반(종합),괴물,봉준호,,남우조연상,변희봉
2006,청룡영화상,일반(종합),타짜,최동훈,,여우주연상,김혜수
2006,청룡영화상,일반(종합),맨발의 기봉이,권수경,,인기스타상,신현준
2006,청룡영화상,일반(종합),음란서생,김대우,,미술상,홍주희
2006,청룡영화상,일반(종합),라디오 스타,이준익,,남우주연상,박중훈
2006,청룡영화상,일반(종합),타짜,최동훈,,인기스타상,김혜수
2006,청룡영화상,일반(종합),타짜,최동훈,,촬영상,최영환
2006,청룡영화상,일반(종합),천하장사 마돈나,"이해영,이해준",,각본상,이해영
2006,청룡영화상,일반(종합),천하장사 마돈나,"이해영,이해준",,각본상,이해준
2006,청룡영화상,일반(종합),천하장사 마돈나,"이해영,이해준",,신인남우상,류덕환
2006,청룡영화상,일반(종합),천하장사 마돈나,"이해영,이해준",,신인감독상,이해영
2006,청룡영화상,일반(종합),천하장사 마돈나,"이해영,이해준",,신인감독상,이해준
2006,청룡영화상,일반(종합),왕의 남자,이준익,,인기스타상,강성연
2006,청룡영화상,일반(종합),왕의 남자,이준익,,음악상,이병우
2006,청룡영화상,일반(종합),라디오 스타,이준익,,남우주연상,안성기
2006,청룡영화상,일반(종합),괴물,봉준호,,조명상,이강산
2006,청룡영화상,일반(종합),괴물,봉준호,,조명상,정영민
2006,청룡영화상,일반(종합),왕의 남자,이준익,,인기스타상,이준기
2006,청룡영화상,일반(종합),가족의 탄생,김태용,,감독상,김태용
2006,청룡영화상,일반(종합),가족의 탄생,김태용,,여우조연상,정유미
2006,청룡영화상,일반(종합),음란서생,김대우,,미술상,조근현
2006,서울독립영화제,독립,나의 작은 인형상자,정유미,경쟁부문 - 단편,,
2006,서울독립영화제,독립,대화,"권만진,김지현,송지은",경쟁부문 - 단편,,
2006,서울독립영화제,독립,낫시리아,이유림,경쟁부문 - 단편,,
2006,서울독립영화제,독립,파산의 기술,이강현,경쟁부문 - 단편,,
2006,서울독립영화제,독립,내가 점 본 얘기 해 줄까?,김태봉,경쟁부문 - 단편,,
2006,서울독립영화제,독립,봄바람,백윤석,경쟁부문 - 단편,,
2006,서울독립영화제,독립,진영이,이성은,,,
2006,서울독립영화제,독립,백두산 호랑이를 찾아서,구본환,경쟁부문 - 단편,,
2006,서울독립영화제,독립,이 곳에는 쥐가 있습니다,권혜민,경쟁부문 - 단편,,
2006,서울독립영화제,독립,리틀 보이,김경수,경쟁부문 - 단편,,
2006,서울독립영화제,독립,소행성 325호,남규비,경쟁부문 - 단편,,
2006,서울독립영화제,독립,우리 그만 헤어져,,경쟁부문 - 단편,,
2006,서울독립영화제,독립,저수지에서 건진 치타,양해훈,경쟁부문 - 단편,,
2006,서울독립영화제,독립,Cracked Share part 2.3.4,이행준,,,
2006,서울독립영화제,독립,메리 크리스마스,최영준,경쟁부문 - 단편,,
2006,서울독립영화제,독립,나 그런 사람 아니에요,이승영,경쟁부문 - 단편,,
2006,여성영화인축제,일반(종합),우리들은 정의파다,이혜란,,다큐멘터리상,이혜란
2006,여성영화인축제,일반(종합),타짜,최동훈,,기술상,신민경
2006,여성영화인축제,일반(종합),아이스케키,여인광,,각본상,연미정
