연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2012,카팔비오 국제영화제,일반(종합),케인,정시영,,,
2012,벵갈루루 국제영화제,일반(종합),복수는 나의 것,박찬욱,회고전,,
2012,벵갈루루 국제영화제,일반(종합),피에타,김기덕,아시아영화,,
2012,벵갈루루 국제영화제,일반(종합),올드보이,박찬욱,회고전,,
2012,벵갈루루 국제영화제,일반(종합),친절한 금자씨,박찬욱,회고전,,
2012,벵갈루루 국제영화제,일반(종합),공동경비구역 JSA,박찬욱,회고전,,
2012,강릉인권영화제,일반(종합),두 개의 문,"김일란,홍지유",초청작,,
2012,강릉인권영화제,일반(종합),밥 없어 집 없어 시끄러 나가!,,초청작,,
2012,강릉인권영화제,일반(종합),버스를 타라,김정근,초청작,,
2012,강릉인권영화제,일반(종합),우리가 원하는 것,"어속 타파,박수현",초청작,,
2012,강릉인권영화제,일반(종합),왜 우리는 다큐멘터리를 찍는가,"김수민,박준형,조남현,김준기",초청작,,
2012,두바이 국제영화제,일반(종합),피에타,김기덕,,,
2012,강릉인권영화제,일반(종합),구정아리랑,,초청작,,
2012,두바이 국제영화제,일반(종합),도둑들,최동훈,,,
2012,강릉인권영화제,일반(종합),나의 교실,한자영,초청작,,
2012,강릉인권영화제,일반(종합),둥근 장막,김영순,초청작,,
2012,강릉인권영화제,일반(종합),미쓰 마마,백연아,초청작,,
2012,케랄라 국제영화제,일반(종합),아리랑,김기덕,World Cinema,,
2012,케랄라 국제영화제,일반(종합),피에타,김기덕,World Cinema,,
2012,케랄라 국제영화제,일반(종합),다른나라에서,홍상수,World Cinema,,
2012,케랄라 국제영화제,일반(종합),풍산개,전재홍,World Cinema,,
2012,써드아이 아시안 영화제,일반(종합),복수는 나의 것,박찬욱,Focus Of Filmmaker - Park Chan Wook,,
2012,써드아이 아시안 영화제,일반(종합),공동경비구역 JSA,박찬욱,Focus Of Filmmaker - Park Chan Wook,,
2012,써드아이 아시안 영화제,일반(종합),올드보이,박찬욱,Focus Of Filmmaker - Park Chan Wook,,
2012,써드아이 아시안 영화제,일반(종합),피에타,김기덕,Opening Film,,
2012,시네마닐라 국제영화제,일반(종합),다른나라에서,홍상수,World Cinema,,
2012,시네마닐라 국제영화제,일반(종합),디지털 삼인삼색 2012: 그레이트 시네마 파티,라야 마틴,"International Competiton, Jeonju Digital Project, Made in Manila",,
2012,시네마닐라 국제영화제,일반(종합),디지털 삼인삼색 2012: 마지막 순간의 빛,비묵티 자야순다라,Jeonju Digital Project,,
2012,시네마닐라 국제영화제,일반(종합),범죄소년,강이관,"국제경쟁, 월드시네마",최우수작품상,강이관
2012,시네마닐라 국제영화제,일반(종합),범죄소년,강이관,"국제경쟁, 월드시네마",남우주연상,서영주
2012,알레 키노 영 오디언스 영화제,청소년,마당을 나온 암탉,"민성아,오성윤",경쟁,,
2012,대한민국청소년영화제,청소년,가장 영화 같은 이별,박승민,,최우수 각본상,
2012,트리에스테 사이언스픽션 영화제,판타지,인류멸망 보고서,김지운,Competition,,
