연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2007,대전독립영화제,일반(종합),"김판수 당선, 그 후",이정현,,최우수 작품상,이정현
2007,대전독립영화제,일반(종합),미필적 고의,함경록,연대와 유대의 초대,,
2007,대전독립영화제,일반(종합),불한당들,장훈,한국독립영화협회 초대,,
2007,대전독립영화제,일반(종합),비밀과 거짓말,최지영,한국독립영화협회 초대,,
2007,대전독립영화제,일반(종합),너의 의미,손원평,한국독립영화협회 초대,,
2007,대전독립영화제,일반(종합),십 분간 휴식,이성태,한국독립영화협회 초대,,
2007,바르셀로나 아시안 섬머 필름 페스티벌,일반(종합),밀양,이창동,",",,
2007,대한민국 대학영화제,일반(종합),"굿바이, 로맨스",윤민수,,,
2007,대한민국 대학영화제,일반(종합),"김판수 당선, 그 후",이정현,,,
2007,대한민국 대학영화제,일반(종합),너나 잘하세요,이승규,,,
2007,대한민국 대학영화제,일반(종합),누가 해변에서 함부로 불꽃놀이를 하는가,조여래,,,
2007,대한민국 대학영화제,일반(종합),행복,허진호,,올해의 감독상,허진호
2007,대한민국 대학영화제,일반(종합),밀양,이창동,,올해의 여자 배우,전도연
2007,대한민국 대학영화제,일반(종합),밀양,이창동,,올해의 남자 배우,송강호
2007,대한민국 대학영화제,일반(종합),계절과 같은,정지형,,,
2007,대한민국 대학영화제,일반(종합),매트릭스 컴퍼니,윤혜렴,,,
2007,대한민국 대학영화제,일반(종합),하우즈,장세진,,,
2007,대한민국 대학영화제,일반(종합),엄마를 찾아주세요,이옥섭,,,
2007,디렉터스 컷 어워즈,일반(종합),은하해방전선,윤성호,,올해의 독립영화감독상,윤성호
2007,디렉터스 컷 어워즈,일반(종합),좋지 아니한가,정윤철,,올해의 새로운 여자배우상,황보라
2007,디렉터스 컷 어워즈,일반(종합),즐거운 인생,이준익,,올해의 새로운 남자배우상,장근석
2007,디렉터스 컷 어워즈,일반(종합),기담,"정식,정범식",,올해의 신인감독상,정식
2007,디렉터스 컷 어워즈,일반(종합),기담,"정식,정범식",,올해의 신인감독상,정범식
2007,디렉터스 컷 어워즈,일반(종합),밀양,이창동,,올해의 여자배우상,전도연
2007,디렉터스 컷 어워즈,일반(종합),밀양,이창동,,올해의 남자배우상,송강호
2007,디렉터스 컷 어워즈,일반(종합),밀양,이창동,,올해의 감독상,이창동
2007,첸나이 국제영화제,일반(종합),장군의 아들,임권택,Retrospective,,
2007,첸나이 국제영화제,일반(종합),장군의 아들 2,임권택,Retrospective,,
2007,첸나이 국제영화제,일반(종합),서편제,임권택,Retrospective,,
2007,여성영화인축제,일반(종합),그놈 목소리,박진표,,올해의 여성영화인상,이유진
2007,여성영화인축제,일반(종합),미녀는 괴로워,김용화,,제작자상,노은희
2007,여성영화인축제,일반(종합),밀양,이창동,,연기상,전도연
2007,여성영화인축제,일반(종합),전장에서 나는,공미연,,다큐멘터리상,공미연
2007,여성영화인축제,일반(종합),궁녀,김미정,,감독상,김미정
2007,여성영화인축제,일반(종합),싸이보그지만 괜찮아,박찬욱,,기술상,조상경
2007,여성영화인축제,일반(종합),행복,허진호,,올해의 여성영화인상,이유진
2007,두바이 국제영화제,일반(종합),취화선,임권택,,,
2007,두바이 국제영화제,일반(종합),밀양,이창동,Cinema for Asia,,
2007,자카르타 국제영화제,일반(종합),달콤한 인생,김지운,",",,
2007,자카르타 국제영화제,일반(종합),빈집,김기덕,",",,
2007,두바이 국제영화제,일반(종합),천년학,임권택,,,
2007,케랄라 국제영화제,일반(종합),돼지와 세익스피어,김건,Short films,,
2007,케랄라 국제영화제,일반(종합),시간,김기덕,World section,,
2007,케랄라 국제영화제,일반(종합),만남,홍성훈,Short films,,
2007,푸와티에 국제학생영화제,일반(종합),베이베를 원하세요?,이상근,,,
2007,푸와티에 국제학생영화제,일반(종합),즐거운 우리집,엄혜정,,,
2007,푸와티에 국제학생영화제,일반(종합),가족나들이,홍승완,,,
2007,케랄라 국제영화제,일반(종합),오래된 정원,임상수,.,,
2007,탈린 블랙나이츠 영화제,일반(종합),두 번째 사랑,김진아,Focus on South Korea,,
2007,탈린 블랙나이츠 영화제,일반(종합),중천,조동오,Night Films,,
2007,탈린 블랙나이츠 영화제,일반(종합),아내의 애인을 만나다,김태식,Focus on South Korea,,
2007,짐바브웨 국제여성영화제,일반(종합),청연,윤종찬,,,
2007,탈린 블랙나이츠 영화제,일반(종합),사이에서,이창재,Focus on South Korea,,
2007,탈린 블랙나이츠 영화제,일반(종합),다세포소녀,이재용,"Focus on South Korea, Susi",,
2007,탈린 블랙나이츠 영화제,일반(종합),비열한 거리,유하,Focus on South Korea,,
2007,탈린 블랙나이츠 영화제,일반(종합),왕의 남자,이준익,"Focus on South Korea, Susi",,
2007,탈린 블랙나이츠 영화제,일반(종합),천년학,임권택,Focus on South Korea,,
2007,트빌리시 국제영화제,일반(종합),시간,김기덕,Horizons,,
2007,탈린 블랙나이츠 영화제,일반(종합),해변의 여인,홍상수,Focus on South Korea,,
2007,탈린 블랙나이츠 영화제,일반(종합),엠,이명세,Focus on South Korea,,
2007,탈린 블랙나이츠 영화제,일반(종합),후회하지 않아,이송희일,"Focus on South Korea, Susi",,
2007,탈린 블랙나이츠 영화제,일반(종합),밀양,이창동,Focus on South Korea,,
2007,탈린 블랙나이츠 영화제,일반(종합),싸이보그지만 괜찮아,박찬욱,Focus on South Korea,,
2007,탈린 블랙나이츠 영화제,일반(종합),경계,장률,Focus on South Korea,,
2007,올림피아 국제아동청소년영화제,청소년,도둑소년,민용근,Competition,,
2007,프레쉬 국제비디오아트&단편영화제,단편,손님,이은영,,,
2007,프레쉬 국제비디오아트&단편영화제,단편,금지된 장난,최민석,(),,
2007,프레쉬 국제비디오아트&단편영화제,단편,백토전,허만재,(),,
2007,프레쉬 국제비디오아트&단편영화제,단편,아빠가 필요해,장형윤,Short Program,,
2007,프레쉬 국제비디오아트&단편영화제,단편,체임버,유석현,Short Program,,
2007,엑상프로방스 국제단편영화제,단편,가족나들이,홍승완,International Competition,,
2007,프레쉬 국제비디오아트&단편영화제,단편,스위밍걸,곽인근,(),,
2007,프레쉬 국제비디오아트&단편영화제,단편,나의 작은 인형상자,정유미,(),,
2007,프레쉬 국제비디오아트&단편영화제,단편,불휘,류지나,(),,
2007,엑상프로방스 국제단편영화제,단편,베이베를 원하세요?,이상근,International Competition,,
2007,프레쉬 국제비디오아트&단편영화제,단편,손님,,(),,
2007,대만 금마장 영화제,일반(종합),천년여우 여우비,이성강,Rites of Passage,,
2007,프레쉬 국제비디오아트&단편영화제,단편,프랑스 중위의 여자,백승빈,(),,
2007,프레쉬 국제비디오아트&단편영화제,단편,완벽한 도미요리,나홍진,Short Program,,
2007,프레쉬 국제비디오아트&단편영화제,단편,키로기,이사무엘,초청,,
2007,프레쉬 국제비디오아트&단편영화제,단편,별리,배완례,(),,
2007,대만 금마장 영화제,일반(종합),아치와 씨팍,조범진,Film Cult(ure) / Midnight Fever,,
2007,브라티슬라바 국제영화제,일반(종합),망종,장률,,,
2007,파리국제영화제,일반(종합),돼지와 세익스피어,김건,(),,
2007,인도 국제영화제,일반(종합),사이코패스,김신혜,'World of cinema' 초청,,
2007,숏컷 쾰른 국제단편영화제,단편,모노 러브 송,조민석,South Korea Selection,,
2007,숏컷 쾰른 국제단편영화제,단편,강변북로,유성엽,South Korea Selection,,
2007,숏컷 쾰른 국제단편영화제,단편,Gift,,South Korea Selection,,
2007,필마시아 영화제,일반(종합),싸이보그지만 괜찮아,박찬욱,.,,
2007,숏컷 쾰른 국제단편영화제,단편,뒷모습,최숭기,South Korea Selection,,
2007,숏컷 쾰른 국제단편영화제,단편,여우비,구본환,South Korea Selection,,
2007,필마시아 영화제,일반(종합),여고괴담 4 : 목소리,최익환,.,,
2007,숏컷 쾰른 국제단편영화제,단편,돼지와 세익스피어,김건,South Korea Selection,,
2007,포커스 아시아 나이트-판타지필름페스트,일반(종합),수,최양일,Focus Asia Nights,,
2007,아웃페스트 퓨전 유색인종 LGBTQ 영화제,퀴어,진영이,이성은,CROSSCURRENT: FUSION SHORTS,,
2007,필마시아 영화제,일반(종합),검은 집,신태라,.,,
2007,빌바오 국제다큐멘터리&단편영화제,일반(종합),아빠가 필요해,장형윤,히로시마애니메이션영화제 수상작,,
2007,대한민국 영화대상,일반(종합),밀양,이창동,,여우주연상,전도연
2007,대한민국 영화대상,일반(종합),밀양,이창동,,감독상,이창동
2007,대한민국 영화대상,일반(종합),밀양,이창동,,최우수작품상,이창동
2007,대한민국 영화대상,일반(종합),밀양,이창동,,남우주연상,송강호
2007,한국영화평론가협회상,일반(종합),천년학,임권택,,음악상,양방언
2007,한국영화평론가협회상,일반(종합),화려한 휴가,김지훈,,촬영상,이두만
2007,한국영화평론가협회상,일반(종합),기담,"정식,정범식",,신인감독상,정식
2007,한국영화평론가협회상,일반(종합),기담,"정식,정범식",,신인감독상,정범식
