연도,영화제,장르,출품작,감독,출품분야,수상내역,수상인
2020,강릉국제영화제,기타,갈매기,김미조,영화와 문학,,
2020,블랙마리아 영화제,기타,"그저, 작은",김나경,Animation,Jury's Citation,김나경
2020,블랙마리아 영화제,기타,메이트,임채린,Experimental,Jury's Citation,임채린
2020,지포니 영화제,청소년,수라(修羅),정해지,Generator +18,,
2020,제주영화제,일반(종합),서복,이용주,아임 유어 시네마,,
2020,제주영화제,일반(종합),술래,김도연,미쟝센 인 제주,,
2020,제주영화제,일반(종합),"Ok, 탑스타",이건휘,미쟝센 인 제주,,
2020,제주영화제,일반(종합),긴 밤,김정민,미쟝센 인 제주,,
2020,제주영화제,일반(종합),서스피션,박우건,미쟝센 인 제주,,
2020,제주영화제,일반(종합),신의 딸은 춤을 춘다,변성빈,미쟝센 인 제주,,
2020,제주영화제,일반(종합),베를린에서 쏘아 올린 공,,핑퐁시네마,,
2020,제주영화제,일반(종합),라이벌,,핑퐁시네마,,
2020,제주영화제,일반(종합),파이스 스탭 & 스핀,,핑퐁시네마,,
2020,제주영화제,일반(종합),호돌이,,핑퐁시네마,,
2020,제주영화제,일반(종합),사일의 기억,문숙희,제주트멍,,
2020,제주영화제,일반(종합),실,"이나연,조민재",미쟝센 인 제주,,
2020,제주영화제,일반(종합),아동급식,홍연이,제주트멍,,
2020,제주영화제,일반(종합),우리의 낮과 밤,김소형,미쟝센 인 제주,,
2020,제주영화제,일반(종합),아마 늦은 여름이었을 거야,김소형,미쟝센 인 제주,,
2020,제주영화제,일반(종합),빛나는 순간,소준문,개막작,,
2020,제주영화제,일반(종합),헛묘,변성진,,관객상,
2020,울산국제영화제,일반(종합),밥상행사,박상은,,,
2020,울산국제영화제,일반(종합),제씨 이야기,,,관객상,
2020,울산국제영화제,일반(종합),"괜찮아요, 귀복씨",,,,
2020,울산국제영화제,일반(종합),명선도,,,,
2020,예루살렘 영화제,일반(종합),도망친 여자,홍상수,Masters,,
2020,울산국제영화제,일반(종합),블루시티서울,정성준,,,
2020,울산국제영화제,일반(종합),"작은 서점, 제목 없는 책",,,,
2020,울산국제영화제,일반(종합),팬티는 입어도 바지는 안돼!,,,,
2020,울산국제영화제,일반(종합),식구(食口),박찬우,경쟁작-울산,,
2020,울산국제영화제,일반(종합),냉장고 안의 코끼리,,,,
2020,울산국제영화제,일반(종합),무사고 1823일,,,,
2020,울산국제영화제,일반(종합),바운서,안준성,,,
2020,울산국제영화제,일반(종합),맨 오브 나만자,권한슬,,,
2020,울산국제영화제,일반(종합),어느 시골 소녀의 일기,,,,
2020,울산국제영화제,일반(종합),서울손님,김원호,,,
2020,울산국제영화제,일반(종합),히치,이상훈,,,
2020,울산국제영화제,일반(종합),곁에,,,,
2020,울산국제영화제,일반(종합),사선에서 캠프파이어,,,,
2020,울산국제영화제,일반(종합),바라던 바다,,,,
2020,울산국제영화제,일반(종합),도시의 산,,,,
2020,울산국제영화제,일반(종합),앞니,김시현,,남자 연기상,김현목
2020,울산국제영화제,일반(종합),열대소년,,,촬영상,
2020,울산국제영화제,일반(종합),위험한 결혼,박현경,,여자 연기상,
2020,울산국제영화제,일반(종합),임계장,이길우,,작품상,이길우
2020,울산국제영화제,일반(종합),씨 퓨러월,,,,
2020,전주단편영화제,일반(종합),더 게스트,,,,
2020,전주단편영화제,일반(종합),데드라인,최병권,,전주비빔상,최병권
2020,전주단편영화제,일반(종합),데드라인,최병권,,최우수연기상,전신환
2020,전주단편영화제,일반(종합),찾아라 달팽이!,김다윤,,,
2020,전주단편영화제,일반(종합),무서워서 크게 부르는 노래,조현진,,전주꽃심상,조현진
2020,전주단편영화제,일반(종합),도와줘!,김지안,,,
2020,전주단편영화제,일반(종합),몬스터,,,,
2020,전주단편영화제,일반(종합),도망치기 좋은 날,김해리,,,
2020,전주단편영화제,일반(종합),그 여름의 끝,김상규,,,
2020,전주단편영화제,일반(종합),독백,,,,
2020,전주단편영화제,일반(종합),누가 먹이가 되어야 하는가,주성현,경쟁부문,,
2020,전주단편영화제,일반(종합),친구집,김은성,,,
2020,전주단편영화제,일반(종합),탑차,,,,
2020,전주단편영화제,일반(종합),여름에 내린 눈,이가경,,전주풍남문상,이가경
2020,전주단편영화제,일반(종합),와이파이,,,전주부채상(김창현),
2020,전주단편영화제,일반(종합),와이파이,,,최우수연기상(천세현),
2020,전주단편영화제,일반(종합),그녀를 지우는 시간,홍성윤,,,
2020,전주단편영화제,일반(종합),홈,,,,
2020,전주단편영화제,일반(종합),우리는 서로에게,김다솜,,,
2020,전주단편영화제,일반(종합),외도(外島),정성준,,,
2020,전주단편영화제,일반(종합),헛묘,변성진,,전주콩나물상,변성진
2020,김포국제청소년영화제,청소년,I AM A HERO,임영진,한국경쟁-대학수상작,춤추는 흰꼬리수리상(우수),임영진
2020,김포국제청소년영화제,청소년,콜미,,한국경쟁-대학수상작,춤추는 흰꼬리수리상(우수),
2020,김포국제청소년영화제,청소년,불면증 소년,,한국경쟁-대학수상작,춤추는 흰꼬리수리상(우수),
2020,김포국제청소년영화제,청소년,도망자,,한국경쟁-초등수상작,노래하는 큰기러기상(장려),
2020,김포국제청소년영화제,청소년,아픈 사람,,한국경쟁-초등수상작,노래하는 큰기러기상(장려),
2020,부산국제동물생명영화제,일반(종합),고양이 집사,이희섭,,,
2020,부산국제동물생명영화제,일반(종합),꿈꾸는 고양이,"강민현,지원",개막작,,
2020,부산국제동물생명영화제,일반(종합),개와 고양이를 위한 시간,임진평,,,
2020,빛가람국제평화영화제,일반(종합),나는 나를 해고하지 않는다,이태겸,개막작,,
2020,부산국제동물생명영화제,일반(종합),고양이에게 밥을 주지 마세요,"김희주,정주희",,,
2020,인터페이스 필름&뮤직 페스티벌,일반(종합),시름,한소현,Feature Film,FestiVote : Feature Film - Audience Choice Award,한소현
